CODIGO|DESCRICAO|DTINICIO|DTFIM
008|Abu Dhabi|01011900|13121996
009|Dirce|01011900|13121996
013|Afeganistão|01011900|
015|Aland, Ilhas|07122015|15012023
017|Albania, República da|01011900|
020|Alboran-Perejil, Ilhas|01011900|13121996
023|Alemanha|01011900|
025|Alemanha, República Democrática|01011900|13121996
031|Burkina Faso|01011900|
037|Andorra|01011900|
040|Angola|01011900|
041|Anguilla|01011900|
042|Antártica|01011900|15012023
043|Antígua e Barbuda|01011900|
047|Antilhas Holandesas|01011900|30042018
053|Arábia Saudita|01011900|
059|Argélia|01011900|
063|Argentina|01011900|
064|Armênia, República da|01011900|
065|Aruba|01011900|
069|Austrália|01011900|
072|Áustria|01011900|
073|Azerbaijão, República do|01011900|
077|Bahamas, Ilhas|01011900|
080|Bahrein, Ilhas|01011900|
081|Bangladesh|01011900|
083|Barbados|01011900|
085|Belarus, República da|01011900|
087|Bélgica|01011900|
088|Belize|01011900|
090|Bermudas|01011900|
093|Mianmar (Birmânia)|01011900|
097|Bolívia, Estado Plurinacional da|01011900|
098|Bósnia-Herzegovina, República da|01011900|
099|Bonaire, Saint Eustatius e Saba|07122015|
100|Int. Z. F. Manaus|01121991|13121996
101|Botsuana|01011900|
102|Bouvet, Ilha|07122015|
105|Brasil|01011900|
106|Fretado p/ Brasil|01121991|14111996
108|Brunei|01011900|
111|Bulgária, República da|01011900|
115|Burundi|01011900|
119|Butão|01011900|
127|Cabo Verde, República de|01011900|
131|Cachemira|01011900|13121996
137|Cayman, Ilhas|01011900|
141|Camboja|01011900|
145|Camarões|01011900|
149|Canadá|01011900|
150|Ilhas do Canal (Jersey e Guernsey)|01011900|30042018
151|Canárias, Ilhas|01011900|30042018
152|Canal, Ilhas|01011900|13121996
153|Cazaquistão, República do|01011900|
154|Catar|01011900|
158|Chile|01011900|
160|China, República Popular|01011900|
161|Formosa (Taiwan)|01011900|
163|Chipre|01011900|
165|Cocos (Keeling), Ilhas|01011900|
169|Colômbia|01011900|
173|Comores, Ilhas|01011900|
177|Congo|01011900|
183|Cook, Ilhas|01011900|
187|Coreia (do Norte), República Popular Democrática da|01011900|
190|Coreia (do Sul), República da|01011900|
193|Costa do Marfim|01011900|
195|Croácia, República da|01011900|
196|Costa Rica|01011900|
198|Kuwait|01011900|
199|Cuba|01011900|
200|Curaçao|07122015|
229|Benin|01011900|
232|Dinamarca|01011900|
235|Dominica, Ilha|01011900|
237|Dubai|01011900|13121996
239|Equador|01011900|
240|Egito|01011900|
243|Eritreia|17072006|
244|Emirados Árabes Unidos|01011900|
245|Espanha|01011900|
246|Eslovênia, República da|01011900|
247|Eslovaca, República|01011900|
249|Estados Unidos|01011900|
251|Estônia, República da|01011900|
253|Etiópia|01011900|
255|Falkland (Ilhas Malvinas)|01011900|
259|Feroe, Ilhas|01011900|
263|Fezzan|01011900|13121996
267|Filipinas|01011900|
271|Finlândia|01011900|
275|França|01011900|
281|Gabão|01011900|
285|Gâmbia|01011900|
289|Gana|01011900|
291|Geórgia, República da|01011900|
292|Geórgia do Sul e Sandwich do Sul, Ilhas|01011900|15012023
293|Gibraltar|01011900|
297|Granada|01011900|
301|Grécia|01011900|
305|Groenlândia|01011900|
309|Guadalupe|01011900|
313|Guam|01011900|
317|Guatemala|01011900|
321|Guernsey, Ilha do Canal|01011900|
325|Guiana Francesa|01011900|
329|Guiné|01011900|
331|Guiné-Equatorial|01011900|
334|Guiné-Bissau|01011900|
337|Guiana|01011900|
341|Haiti|01011900|
343|Heard e Ilhas McDonald, Ilha|01011900|15012023
345|Honduras|01011900|
351|Hong Kong|01011900|
355|Hungria, República da|01011900|
357|Iêmen|01011900|
358|Iêmen do Sul|01011900|13121996
359|Man, Ilha de|01011900|
361|Índia|01011900|
365|Indonésia|01011900|
367|Inglaterra|01011900|18031997
369|Iraque|01011900|
372|Irã, República Islâmica do|01011900|
375|Irlanda|01011900|
379|Islândia|01011900|
383|Israel|01011900|
386|Itália|01011900|
388|Sérvia e Montenegro|01011900|21112013
391|Jamaica|01011900|
393|Jersey, Ilha do Canal|01011900|
395|Jammu|01011900|13121996
396|Johnston, Ilhas|01011900|30042018
399|Japão|01011900|
403|Jordânia|01011900|
411|Kiribati|01011900|
420|Laos, República Popular Democrática do|01011900|
423|Lebuan, Ilhas|01011900|30042018
426|Lesoto|01011900|
427|Letônia, República da|01011900|
431|Líbano|01011900|
434|Libéria|01011900|
438|Líbia|01011900|
440|Liechtenstein|01011900|
442|Lituânia, República da|01011900|
445|Luxemburgo|01011900|
447|Macau|01011900|
449|Macedônia do Norte|01011900|
450|Madagascar|01011900|
452|Ilha da Madeira|01011900|30042018
455|Malásia|01011900|
458|Malavi|01011900|
461|Maldivas|01011900|
464|Mali|01011900|
467|Malta|01011900|
472|Marianas do Norte|01011900|
474|Marrocos|01011900|
476|Marshall, Ilhas|01011900|
477|Martinica|01011900|
485|Maurício|01011900|
488|Mauritânia|01011900|
489|Mayotte|01011900|15012023
490|Midway, Ilhas|01011900|30042018
493|México|01011900|
494|Moldávia, República da|01011900|
495|Mônaco|01011900|
497|Mongólia|01011900|
498|Montenegro|03062006|
499|Micronésia|01011900|
501|Montserrat, Ilhas|01011900|
505|Moçambique|01011900|
507|Namíbia|01011900|
508|Nauru|01011900|
511|Christmas, Ilha (Navidad)|01011900|
517|Nepal|01011900|
521|Nicarágua|01011900|
525|Níger|01011900|
528|Nigéria|01011900|
531|Niue, Ilha|01011900|
535|Norfolk, Ilha|01011900|
538|Noruega|01011900|
542|Nova Caledônia|01011900|
545|Papua Nova Guiné|01011900|
548|Nova Zelândia|01011900|
551|Vanuatu|01011900|
556|Omã|01011900|
563|Pacífico, Ilhas do (Administração dos EUA)|01011900|13121996
566|Pacífico, Ilhas do (Possessão dos EUA)|01011900|
569|Pacífico, Ilhas do (Território em Fideicomisso dos)|01011900|13121996
573|Paises Baixos (Holanda)|01011900|
575|Palau|01011900|
576|Paquistão|01011900|
578|Palestina|25012011|
580|Panamá|01011900|
583|Papua Nova Guiné|01121991|13121996
586|Paraguai|01011900|
589|Peru|01011900|
593|Pitcairn, Ilha|01011900|
599|Polinésia Francesa|01011900|
603|Polônia, República da|01011900|
607|Portugal|01011900|
611|Porto Rico|01011900|
623|Quênia|01011900|
625|Quirguiz, República|01011900|
628|Reino Unido|01011900|
640|República Centro-Africana|01011900|
647|República Dominicana|01011900|
660|Reunião, Ilha|01011900|
665|Zimbábue|01011900|
670|Romênia|01011900|
675|Ruanda|01011900|
676|Rússia, Federacão da|01011900|
677|Salomão, Ilhas|01011900|
678|Saint Kitts e Nevis|01011900|27062016
685|Saara Ocidental|01011900|
687|El Salvador|01011900|
690|Samoa|01011900|
691|Samoa Americana|01011900|
693|São Bartolomeu|07122015|15012023
695|São Cristovão e Neves, Ilhas|01011900|
697|San Marino|01011900|
698|São Martinho, Ilha de (Parte Francesa)|01011900|
699|São Martinho, Ilha de (Parte Holandesa)|07122015|
700|São Pedro e Miquelon|01011900|
705|São Vicente e Granadinas|01011900|
710|Santa Helena|01011900|
715|Santa Lúcia|01011900|
720|Sao Tomé e Príncipe, Ilhas|01011900|
728|Senegal|01011900|
731|Seychelles|01011900|
735|Serra Leoa|01011900|
737|Sérvia|03062006|
738|Sikkim|01011900|13121996
741|Cingapura|01011900|
744|Síria, República Árabe da|01011900|
748|Somália|01011900|
750|Sri Lanka|01011900|
754|eSwatini (Essuatíni, Suazilândia)|01011900|
755|Svalbard e Jan Mayen|01011900|
756|África do Sul|01011900|
759|Sudão|01011900|
760|Sudão do Sul|27052013|
764|Suécia|01011900|
767|Suíça|01011900|
770|Suriname|01011900|
772|Tadjiquistão, República do|01011900|
776|Tailândia|01011900|
780|Tanzânia, Rep. Unida da|01011900|
781|Terras Austrais Francesas|01011900|15012023
782|Território Britânico Oceano Índico|01011900|
783|Djibuti|01011900|
785|Território da Alta Comissão do Pacífico Ocidental|01011900|13121996
788|Chade|01011900|
790|Tchecoslováquia|01011900|13121996
791|Tcheca, República|01011900|
795|Timor Leste|01011900|
800|Togo|01011900|
805|Toquelau, Ilhas|01011900|
810|Tonga|01011900|
815|Trinidad e Tobago|01011900|
820|Tunísia|01011900|
823|Turcas e Caicos, Ilhas|01011900|
824|Turcomenistão, República do|01011900|
827|Turquia|01011900|
828|Tuvalu|01011900|
831|Ucrânia|01011900|
833|Uganda|01011900|
840|Uniao das Repúblicas Socialistas Soviéticas|01011900|13121996
845|Uruguai|01011900|
847|Uzbequistao, República do|01011900|
848|Vaticano, Est. da Cidade do|01011900|
850|Venezuela|01011900|
855|Vietname Norte|01011900|13121996
858|Vietnã|01011900|
863|Virgens, Ilhas (Britânicas)|01011900|
866|Virgens, Ilhas (EUA)|01011900|
