CODIGO|DESCRICAO|DTINICIO|DTFIM|IDTPEVENTO|TAGTPEVENT|IDENTIFIC|INDCHDUPL|INDEXCL|CLASSTRIB|NCLASSTRI|OBRIG_WEB_DOM|OBRIG_LR|OBRIG_ORGP|OBRIG_GRUPO_2|OBRIG_DEFAULT_PF|OBRIG_DEFAULT_PJ
S-1000|Informações do Empregador/Contribuinte/Órgão Público|01012014||1|evtInfoEmpregador|CONTRIBUINTE|0|0|||01102015|08012018|21072021|16072018|10012019|10012019
S-1005|Tabela de Estabelecimentos, Obras ou Unidades de Órgãos Públicos|01012014||10|evtTabEstab|CONTRIBUINTE|0|0|||01102015|08012018|21072021|16072018|10012019|10012019
S-1010|Tabela de Rubricas|01012014||11|evtTabRubrica|CONTRIBUINTE|0|0|||01102015|08012018|21072021|16072018|10012019|10012019
S-1020|Tabela de Lotações Tributárias|01012014||12|evtTabLotacao|CONTRIBUINTE|0|0|||01102015|08012018|21072021|16072018|10012019|10012019
S-1030|Tabela de Cargos/Empregos Públicos|01012014|09032022|13|evtTabCargo|CONTRIBUINTE|0|0|||01102015|08012018|31129999|16072018|10012019|10012019
S-1040|Tabela de Funções/Cargos em Comissão|01012014|09032022|14|evtTabFuncao|CONTRIBUINTE|0|0|||01102015|08012018|31129999|16072018|10012019|10012019
S-1050|Tabela de Horários/Turnos de Trabalho|01012014|09032022|15|evtTabHorTur|CONTRIBUINTE|0|0|||01102015|08012018|31129999|16072018|10012019|10012019
S-1070|Tabela de Processos Administrativos/Judiciais|01012014||17|evtTabProcesso|CONTRIBUINTE|0|0|||01102015|08012018|21072021|16072018|10012019|10012019
S-1080|Tabela de Operadores Portuários|01012014|09032022|18|evtTabOperPort|CONTRIBUINTE|0|0|09||01102015|08012018|31129999|16072018|10012019|10012019
S-1200|Remuneração de Trabalhador vinculado ao Regime Geral de Previd. Social|01012014||70|evtRemun|TRABALHADOR|0|1|||01102015|01052018|01082022|01012019|01072021|01052021
S-1202|Remuneração de Servidor vinculado ao Regime Próprio de Previd. Social|01082022||78|evtRmnRPPS|INDEFINIDO|0|1|||01082022|01082022|01082022|01082022|01082022|01082022
S-1207|Benefícios - Entes Públicos|01082022||72|evtBenPrRP|INDEFINIDO|0|1|||01082022|01082022|01082022|01082022|01082022|01082022
S-1210|Pagamentos de Rendimentos do Trabalho|01012014||71|evtPgtos|INDEFINIDO|0|1|||01102015|01052018|01082022|01012019|01072021|01052021
S-1250|Aquisição de Produção Rural|01012014|20072021|73|evtAqProd|INDEFINIDO|0|1||22|01102015|01052018|31129999|01012019|31129999|01052021
S-1260|Comercialização da Produção Rural Pessoa Física|01012014||74|evtComProd|INDEFINIDO|0|1|21;22||01102015|01052018|01082022|01012019|01072021|01052021
S-1270|Contratação de Trabalhadores Avulsos Não Portuários|01012014||75|evtContratAvNP|INDEFINIDO|0|1|||01102015|01052018|01082022|01012019|01072021|01052021
S-1280|Informações Complementares aos Eventos Periódicos|01012014||76|evtInfoComplPer|INDEFINIDO|0|1|02;03;09;99||01102015|01052018|01082022|01012019|01072021|01052021
S-1295|Solicitação de Totalização para Pagamento em Contingência|01012014|09032022|77|evtTotConting|INDEFINIDO|0|0|||01102015|01052018|31129999|01012019|01072021|01052021
S-1298|Reabertura dos Eventos Periódicos|01012014||79|evtReabreEvPer|INDEFINIDO|0|0|||01102015|01052018|22112021|01052018|01052021|01052018
S-1299|Fechamento dos Eventos Periódicos|01012014||80|evtFechaEvPer|INDEFINIDO|0|0|||01102015|01052018|01082022|01012019|01072021|01052021
S-1300|Contribuição Sindical Patronal|01012014|09032022|81|evtContrSindPatr|INDEFINIDO|0|1|||01102015|01052018|31129999|01012019|01072021|01052021
S-2100|Cadastramento Inicial do Vínculo|01012014|07012018|40|evtCadInicial|VINCULO_TRABALHISTA|0|1|||01102015|||||
S-2190|Registro Preliminar de Trabalhador|01012014||41|evtAdmPrelim|SEGURADO_EMPREGADO|0|1|||01102015|01032018|22112021|10102018|10042019|10042019
S-2200|Cadastramento Inicial do Vínculo e Admissão/Ingresso de Trabalhador|01012014||42|evtAdmissao|VINCULO_TRABALHISTA|0|1|||01102015|01032018|22112021|10102018|10042019|10042019
S-2205|Alteração de Dados Cadastrais do Trabalhador|01012014||43|evtAltCadastral|TRABALHADOR|0|1|||01102015|01032018|22112021|10102018|10042019|10042019
S-2206|Alteração de Contrato de Trabalho/Relação Estatutária|01012014||44|evtAltContratual|VINCULO_TRABALHISTA|0|1|||01102015|01032018|22112021|10102018|10042019|10042019
S-2210|Comunicação de Acidente de Trabalho|13102021||45|evtCAT|AFASTAMENTO|0|1|||10012022|13102021|01012023|10012022|10012022|10012022
S-2220|Monitoramento da Saúde do Trabalhador|13102021||46|evtMonit|AFASTAMENTO|0|1|||31129999|13102021|01012023|10012022|10012022|10012022
S-2221|Exame Toxicológico do Motorista Profissional|31129999||39|evtToxic|AFASTAMENTO|0|1|||01082024|01082024|01082024|01082024|01082024|01082024
S-2230|Afastamento Temporário|01012014||48|evtAfastTemp|AFASTAMENTO|0|1|||01102015|01032018|22112021|10102018|10042019|10042019
S-2231|Cessão/Exercício em Outro Órgão|19072021||49|evtCessao|VINCULO_TRABALHISTA|0|1|||19072021|19072021|22112021|19072021|19072021|19072021
S-2240|Condições Ambientais do Trabalho - Agentes Nocivos|13102021||50|evtExpRisco|AFASTAMENTO|0|1|||31129999|13102021|01012023|10012022|10012022|10012022
S-2250|Aviso Prévio|01012014|09032022|55|evtAvPrevio|VINCULO_TRABALHISTA|0|1|||01102015|01032018|31129999|10102018|10042019|10042019
