CODIGO|DESCRICAO|DTINICIO|DTFIM
753030000|Crânio (inclusive encéfalo)|01012014|
753050000|Ouvido (externo, médio, interno, audição e equilíbrio)|01012014|
753070100|Olho (inclusive nervo ótico e visão)|01012014|
753070300|Nariz (inclusive fossas nasais, seios da face e olfato)|01012014|
753070500|Boca (inclusive lábios, dentes, língua, garganta e paladar)|01012014|
753070700|Mandíbula (inclusive queixo)|01012014|
753070800|Face, partes múltiplas (qualquer combinação das partes acima)|01012014|
753080000|Cabeça, partes múltiplas (qualquer combinação das partes acima)|01012014|
753090000|Cabeça, NIC|01012014|
753510000|Braço (entre o punho e o ombro)|01012014|
753510200|Braço (acima do cotovelo)|01012014|
754000000|Pescoço|01012014|
755010400|Cotovelo|01012014|
755010600|Antebraço (entre o punho e o cotovelo)|01012014|
755030000|Punho|01012014|
755050000|Mão (exceto punho ou dedos)|01012014|
755070000|Dedo|01012014|
755080000|Membros superiores, partes múltiplas (qualquer combinação das partes acima)|01012014|
755090000|Membros superiores, NIC|01012014|
756020000|Ombro|01012014|
756030000|Tórax (inclusive órgãos internos)|01012014|
756040000|Dorso (inclusive músculos dorsais, coluna e medula espinhal)|01012014|
756050000|Abdome (inclusive órgãos internos)|01012014|
756060000|Quadris (inclusive pélvis, órgãos pélvicos e nádegas)|01012014|
756070000|Tronco, partes múltiplas (qualquer combinação das partes acima)|01012014|
756090000|Tronco, NIC|01012014|
757010000|Perna (entre o tornozelo e a pélvis)|01012014|
757010200|Coxa|01012014|
757010400|Joelho|01012014|
757010600|Perna (do tornozelo, exclusive, ao joelho, exclusive)|01012014|
757030000|Articulação do tornozelo|01012014|
757050000|Pé (exceto artelhos)|01012014|
757070000|Artelho|01012014|
757080000|Membros inferiores, partes múltiplas (qualquer combinação das partes acima)|01012014|
757090000|Membros inferiores, NIC|01012014|
758000000|Partes múltiplas (aplica-se quando mais de uma parte importante do corpo for afetada, como, por exemplo, um braço e uma perna)|01012014|
758500000|Sistemas e aparelhos (aplica-se quando o funcionamento de todo um sistema ou aparelho do corpo humano for afetado, sem lesão específica de qualquer outra parte, como no caso do envenenamento, ação corrosiva que afete órgãos internos, lesão dos centros nervosos, etc.; não se aplica quando a lesão sistêmica for provocada por lesão externa, como lesão dorsal que afete nervos da medula espinhal)|01012014|
758520000|Aparelho circulatório|01012014|
758530000|Aparelho respiratório|01012014|
758540000|Sistema nervoso|01012014|
758550000|Aparelho digestivo|01012014|
758560000|Aparelho gênito-urinário|01012014|
758570000|Sistema musculoesquelético|01012014|
758590000|Sistemas e aparelhos, NIC|01012014|
759000000|Localização da lesão, NIC|01012014|
