CODIGO|DESCRICAO|DTINICIO|DTFIM|PERALTMOT|DOMESTICO|DESCRESUM|SUSSALMEN|PAGSALFAM|GERAREMUN|MEI|SEGURADOESPECIAL|MPE|CODCATEG
01|Acidente/doença do trabalho|01012014||03;06|S|Acidente/doença do trabalho|S|2|S|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
02|Novo afastamento decorrente do mesmo acidente/doença do trabalho dentro de 60 dias|01012014|31122016|06|S|Novo afast.pelo mesmo acidente/doença do trabalho|S|2|S|N|N|N|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
03|Acidente/doença não relacionada ao trabalho|01012014||01;06|S|Acidente/doença não relacionada ao trabalho|S|2|N|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
04|Novo afastamento decorrente do mesmo acidente/doença não relacionado ao trabalho dentro de 60 dias|01012014|31122016|06|S|Novo afast. mesmo acid/doença não rel. ao trabalho|S|2|N|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
05|Afastamento/licença de servidor público ou militar prevista em estatuto, sem remuneração|01012014|||N|||||N|N|N|301;302;303;304;305;306;307;308;309;310;311;312;313;314;410
06|Aposentadoria por invalidez|01012014|||S|Aposentadoria por invalidez|S|2|N|S|S|S|101;102;103;104;105;106;107;108;111;301;302;303;304;305;306;307;308;309;310;311;312;313;314
07|Acompanhamento - Licença para acompanhamento de membro da família enfermo|01012014|||N|||||S|N|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
08|Afastamento do empregado para participar de atividade do Conselho Curador do FGTS - Art. 65, § 6º, do Decreto 99.684/1990 (Regulamento do FGTS)|01012014|18072021||N|||||N|N|N|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
10|Afastamento/licença de servidor público ou militar prevista em estatuto, com remuneração|01012014|||N|||||N|N|N|301;302;303;304;305;306;307;308;309;310;311;312;313;314;410
11|Cárcere|01012014|||S|Cárcere|S|3|N|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
12|Cargo eletivo - Candidato a cargo eletivo - Art. 25, parágrafo único, da Lei 7.664/1988 - Celetistas em geral|01012014|||S|Candidato a cargo eletivo - Lei 7.664/1988|S|3|N|S|S|S|101;102;103;104;105;106;107;108;111
13|Cargo eletivo - Candidato a cargo eletivo - Art. 1°, inciso II, alínea "l", da Lei Complementar 64/1990 - Servidor público, estatutário ou não, dos órgãos ou entidades da Administração Direta ou Indireta da União, dos Estados, do Distrito Federal, dos Municípios e dos Territórios, inclusive das fundações mantidas pelo Poder Público|01012014|||N|||||N|N|N|101;102;103;104;105;106;107;108;111;301;302;303;304;305;306;307;308;309;310;311;312;313;314
14|Cessão/Requisição|01012014|09032022||N|||||N|N|N|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314
15|Gozo de férias ou recesso - Afastamento temporário para o gozo de férias ou recesso|01012014|||S|Férias ou Recesso|S|1|S|S|N|N|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
16|Licença remunerada - Lei, liberalidade da empresa ou Acordo/Convenção Coletiva de Trabalho|01012014|||S|Licença remunerada|N|1|S|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
