CODIGO|DESCRICAO|DTINICIO|DTFIM|GERADAE|LCATEGTRAB|GERAINDCOM|DESCRESUM|CODCATEG|APLICDESLIGBAIXAJUD
01|Rescisão com justa causa, por iniciativa do empregador|01012014||1||1|Rescisão com justa causa, por iniciativa do empregador|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
02|Rescisão sem justa causa, por iniciativa do empregador|01012014||2|101;102;103;104;105;106|2|Rescisão sem justa causa, por iniciativa do empregador|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
03|Rescisão antecipada do contrato a termo por iniciativa do empregador|01012014||2|101;102;103;104;105;106|2|Rescisão antecipada do contrato a termo por iniciativa do empregador|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
04|Rescisão antecipada do contrato a termo por iniciativa do empregado|01012014||1||1|Rescisão antecipada do contrato a termo por iniciativa do empregado|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
05|Rescisão por culpa recíproca|01012014||2|101;102;103;104;105;106|2|Rescisão por culpa recíproca|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
06|Rescisão por término do contrato a termo|01012014||2|101;102;103;104;105;106|1|Rescisão por término do contrato a termo|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
07|Rescisão do contrato de trabalho por iniciativa do empregado|01012014||1||1|Rescisão do contrato de trabalho por iniciativa do empregado|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
08|Rescisão do contrato de trabalho por interesse do(a) empregado(a), nas hipóteses previstas nos arts. 394 e 483, § 1º, da CLT|01012014||1||1|Rescisão por interesse do empregado, nas hipóteses previstas nos arts. 394 e 483, § 1º, da CLT|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
09|Rescisão por opção do empregado em virtude de falecimento do empregador individual ou empregador doméstico|01012014||1||1|Rescisão por opção do empregado em virtude de falecimento do empregador individual ou doméstico|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
10|Rescisão por falecimento do empregado|01012014||1||1|Rescisão por falecimento do empregado|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
11|Transferência de empregado para empresa do mesmo grupo empresarial que tenha assumido os encargos trabalhistas, sem que tenha havido rescisão do contrato de trabalho|01012014||1||1|Transferência de empregado para empresa do mesmo grupo empresarial, sem rescisão do contrato|101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314|N
12|Transferência de empregado da empresa consorciada para o consórcio que tenha assumido os encargos trabalhistas, e vice-versa, sem que tenha havido rescisão do contrato de trabalho|01012014||1||1|Transferência de empregado da consorciada para consórcio e vice-versa, sem rescisão do contrato|101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314|N
13|Transferência de empregado de empresa ou consórcio, para outra empresa ou consórcio que tenha assumido os encargos trabalhistas por motivo de sucessão (fusão, cisão ou incorporação), sem que tenha havido rescisão do contrato de trabalho|01012014||1||1|Transferência de empregado de empresa ou consórcio por sucessão, sem rescisão do contrato de trabalho|101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314|N
14|Rescisão do contrato de trabalho por encerramento da empresa, de seus estabelecimentos ou supressão de parte de suas atividades ou falecimento do empregador individual ou empregador doméstico sem continuação da atividade|01012014|21012024|2|101;102;103;104;105;106|2|Rescisão por falecimento do empregador individual ou doméstico sem continuação da atividade|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
15|Demissão de aprendizes por desempenho insuficiente ou inadaptação|01012014|20012019|1||1|Demissão de aprendizes por desempenho insuficiente ou inadaptação|101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
15|Rescisão do contrato de aprendizagem por desempenho insuficiente, inadaptação ou ausência injustificada do aprendiz à escola que implique perda do ano letivo|21012019|18072021|1||1|Rescisão de aprendiz por desempenho insuficiente, inadaptação ou ausência injustificada à escola|101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
16|Declaração de nulidade do contrato de trabalho por infringência ao inciso II do art. 37 da Constituição Federal, quando mantido o direito ao salário|01012014||1||1|Nulidade do contrato de trabalho (art. 37, II, da Constituição), quando mantido o direito ao salário|101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
17|Rescisão indireta do contrato de trabalho|01012014||2|101;102;103;104;105;106|2|Rescisão indireta do contrato de trabalho|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
18|Aposentadoria compulsória|01012014|18072021|1||1|Aposentadoria compulsória|101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
19|Aposentadoria por idade|01012014|18072021|1||1|Aposentadoria por idade|301;302;303;306;307;309|S
20|Aposentadoria por idade e tempo de contribuição|01012014|18072021|1||1|Aposentadoria por idade e tempo de contribuição|301;302;303;306;307;309|S
21|Reforma militar|01012014|18072021|1||1|Reforma militar|301;302;303;306;307;309|S
21|Reforma militar|19072021||1||1|Reforma militar|307;314|S
22|Reserva militar|01012014|18072021|1||1|Reserva militar|301;302;303;306;307;309|S
22|Reserva militar|19072021||1||1|Reserva militar|307;314|S
23|Exoneração|01012014|18072021|1||1|Exoneração|301;302;303;306;307;309|S
23|Exoneração|19072021||1||1|Exoneração|301;302;303;306;307;309;310;312;314|S
24|Demissão|01012014|18072021|1||1|Demissão|301;302;303;306;307;309|S
24|Demissão|19072021||1||1|Demissão|301;302;303;306;307;309;310;312;314|S
25|Vacância de cargo efetivo|01012014|18072021|1||1|Vacância de cargo efetivo|301;302;303;306;307;309|N
25|Vacância de cargo efetivo|19072021||1||1|Vacância de cargo efetivo|301;307;314|N
26|Rescisão do contrato de trabalho por paralisação temporária ou definitiva da empresa, estabelecimento ou parte das atividades motivada por atos de autoridade municipal, estadual ou federal|01012014||1||2|Rescisão por paralisação temporária ou definitiva da empresa motivada por atos de autoridade|101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
27|Rescisão por motivo de força maior|01012014||2|101;102;103;104;105;106|2|Rescisão por motivo de força maior|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
28|Término da cessão/requisição|01012014|18072021|1||1|Término da cessão/requisição|101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314|N
29|Redistribuição|01012014|18072021|1||1|Redistribuição|101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314|N
29|Redistribuição ou Reforma Administrativa|19072021||1||1|Redistribuição ou Reforma Administrativa|301;303;306;307;309;314|N
30|Mudança de regime trabalhista|01012014||1||1|Mudança de regime trabalhista|101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314|N
31|Reversão de reintegração|01012014|17092024|1||1|Reversão de reintegração|101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
32|Extravio de militar|01012014|18072021|1||1|Extravio de militar|101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
32|Extravio de militar|19072021||1||1|Extravio de militar|307;314|S
33|Rescisão por acordo entre as partes (art. 484-A da CLT)|11112017||2|101;102;103;104;105;106|2|Rescisão por acordo entre as partes (art. 484-A da CLT)|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
34|Transferência de titularidade do empregado doméstico para outro representante da mesma unidade familiar|01102015||1||1|Transf. de titularidade do empregado doméstico para outro representante da mesma unidade familiar|104|N
35|Extinção do contrato de trabalho intermitente|08012018|30062018|1||2|Extinção do contrato de trabalho intermitente|101;102;103;105;106;107;108;111;301;302;303;306;307;309;310;312;314|S
36|Mudança de CPF|21012019||1||1|Mudança de CPF|101;102;103;104;105;106;107;108;111;301;302;303;306;307;309;310;312;314|N
37|Remoção, em caso de alteração do órgão declarante|10052021||1||1|Remoção, em caso de alteração do órgão declarante|301;306;307;309;314|S
38|Aposentadoria, exceto por invalidez|10052021||1||1|Aposentadoria, exceto por invalidez|101;301;302;303;306;307;309;310;312;314|S
39|Aposentadoria de servidor estatutário, por invalidez|10052021||1||1|Aposentadoria de servidor estatutário, por invalidez|301;306;309|S
40|Término de exercício de mandato|10052021||1||1|Término de exercício de mandato|301;302;303;306;307;309;310;312;314|S
