CODIGO|DESCRICAO|DTINICIO|DTFIM|TIPO
01.01.001|Arsênio e seus compostos|01012014||QUÍMICOS
01.02.001|Asbestos (ou amianto)|01012014||QUÍMICOS
01.03.001|Benzeno e seus compostos tóxicos (exceto os abaixo especificados, que constam expressamente no Anexo IV do Decreto 3.048/1999)|01012014||QUÍMICOS
01.03.002|Estireno (vinilbenzeno)|01012014||QUÍMICOS
01.04.001|Berílio e seus compostos tóxicos|01012014||QUÍMICOS
01.05.001|Bromo e seus compostos tóxicos|01012014||QUÍMICOS
01.06.001|Cádmio e seus compostos tóxicos|01012014||QUÍMICOS
01.07.001|Carvão mineral e seus derivados|01012014||QUÍMICOS
01.08.001|Chumbo e seus compostos tóxicos|01012014||QUÍMICOS
01.09.001|Cloro e seus compostos tóxicos (exceto os abaixo especificados, que constam expressamente no Anexo IV do Decreto 3.048/1999)|01012014||QUÍMICOS
01.09.002|Metileno-ortocloroanilina, MOCA® (4,4'-metileno-bis-(2-cloroanilina), MBOCA®)|01012014||QUÍMICOS
01.09.003|Bis (cloro metil) éter, clorometileter, (éter bis (clorometílico) ou éter metílico de clorometila), bisclorometil|01012014||QUÍMICOS
01.09.004|Biscloroetileter (éter dicloroetílico)|01012014||QUÍMICOS
01.09.005|Clorambucil (cloroambucil)|01012014||QUÍMICOS
01.09.006|Cloropreno|01012014||QUÍMICOS
01.10.001|Cromo e seus compostos tóxicos|01012014||QUÍMICOS
01.11.001|Dissulfeto de carbono|01012014||QUÍMICOS
01.12.001|Fósforo e seus compostos tóxicos|01012014||QUÍMICOS
01.13.001|Iodo|01012014||QUÍMICOS
01.14.001|Manganês e seus compostos|01012014||QUÍMICOS
01.15.001|Mercúrio e seus compostos|01012014||QUÍMICOS
01.16.001|Níquel e seus compostos tóxicos|01012014||QUÍMICOS
01.17.001|Petróleo, xisto betuminoso, gás natural e seus derivados|01012014||QUÍMICOS
01.18.001|Sílica livre|01012014||QUÍMICOS
01.19.001|Butadieno-estireno|01012014||QUÍMICOS
01.19.002|Acrilonitrila|01012014||QUÍMICOS
01.19.003|1-3-butadieno|01012014||QUÍMICOS
01.19.004|Mercaptanos (tióis)|01012014||QUÍMICOS
01.19.005|n-hexano|01012014||QUÍMICOS
01.19.006|Diisocianato de tolueno (TDI)|01012014||QUÍMICOS
01.19.007|Aminas aromáticas|01012014||QUÍMICOS
01.19.008|Aminobifenila (4-aminodifenil)|01012014||QUÍMICOS
01.19.009|Auramina|01012014||QUÍMICOS
01.19.010|Azatioprina|01012014||QUÍMICOS
01.19.011|1-4-butanodiol|01012014||QUÍMICOS
01.19.012|Dimetanosulfonato (MIRELAN)|01012014||QUÍMICOS
01.19.013|Ciclofosfamida|01012014||QUÍMICOS
01.19.014|Dietiletil-bestrol|01012014||QUÍMICOS
01.19.015|Acronitrila|01012014||QUÍMICOS
01.19.016|Nitronaftilamina|01012014||QUÍMICOS
01.19.017|4-dimetil-aminoazobenzeno|01012014||QUÍMICOS
01.19.018|Benzopireno|01012014||QUÍMICOS
01.19.019|Beta-pbiscloromeropiolactona (beta-propiolactona)|01012014||QUÍMICOS
01.19.020|Bisclorometil|01012014|15062022|QUÍMICOS
01.19.021|Dianizidina|01012014||QUÍMICOS
01.19.022|Dietilsulfato|01012014||QUÍMICOS
01.19.023|Dimetilsulfato|01012014||QUÍMICOS
01.19.024|Etilenoamina|01012014||QUÍMICOS
01.19.025|Etilenotiureia|01012014||QUÍMICOS
01.19.026|Fenacetina|01012014||QUÍMICOS
01.19.027|Iodeto de metila|01012014||QUÍMICOS
01.19.028|Etilnitrosureia|01012014||QUÍMICOS
01.19.029|Nitrosamina|01012014||QUÍMICOS
01.19.030|Ortotoluidina|01012014||QUÍMICOS
01.19.031|Oximetalona (oxime-talona)|01012014||QUÍMICOS
01.19.032|Procarbazina|01012014||QUÍMICOS
01.19.033|Propanosultona|01012014||QUÍMICOS
01.19.034|Óxido de etileno|01012014||QUÍMICOS
01.19.035|Estilbenzeno (etilbenzeno)|01012014||QUÍMICOS
01.19.036|Creosoto|01012014||QUÍMICOS
01.19.037|4-aminodifenil|01012014|15062022|QUÍMICOS
01.19.038|Benzidina|01012014||QUÍMICOS
01.19.039|Betanaftilamina|01012014||QUÍMICOS
01.19.040|1-cloro-2,4-nitrodifenil|01012014||QUÍMICOS
01.19.041|3-poxipro-pano|01012014||QUÍMICOS
02.01.001|Ruído|01012014||FÍSICOS
02.01.002|Vibrações localizadas (mão-braço)|01012014||FÍSICOS
02.01.003|Vibração de corpo inteiro (aceleração resultante de exposição normalizada - aren)|01012014||FÍSICOS
02.01.004|Vibração de corpo inteiro (Valor da Dose de Vibração Resultante - VDVR)|01012014||FÍSICOS
02.01.005|Trabalhos com perfuratrizes e marteletes pneumáticos|01012014||FÍSICOS
02.01.006|Radiações ionizantes|01012014||FÍSICOS
02.01.007|Extração e beneficiamento de minerais radioativos|01012014||FÍSICOS
02.01.008|Atividades em minerações com exposição ao radônio|01012014||FÍSICOS
02.01.009|Realização de manutenção e supervisão em unidades de extração, tratamento e beneficiamento de minerais radioativos com exposição às radiações ionizantes|01012014||FÍSICOS
02.01.010|Operações com reatores nucleares ou com fontes radioativas|01012014||FÍSICOS
02.01.011|Trabalhos realizados com exposição aos raios Alfa, Beta, Gama e X, aos nêutrons e às substâncias radioativas para fins industriais, terapêuticos e diagnósticos|01012014||FÍSICOS
