CODIGO|DESCRICAO|DTINICIO|DTFIM|TEMPCONTR|ALIQ
01.00.01|ARSÊNIO E SEUS COMPOSTOS|01012014||25|6
01.00.02|ARBESTOS|01012014||20|9
01.00.03|BENZENO E SEUS COMPOSTOS TÓXICOS|01012014||25|6
01.00.04|BERÍLIO E SEUS COMPOSTOS TÓXICOS|01012014||25|6
01.00.05|BROMO E SEUS COMPOSTOS TÓXICOS|01012014||25|6
01.00.06|CÁDMIO E SEUS COMPOSTOS TÓXICOS|01012014||25|6
01.00.07|CARVÃO MINERAL E SEUS DERIVADOS|01012014||25|6
01.00.08|CHUMBO E SEUS COMPOSTOS TÓXICOS|01012014||25|6
01.00.09|CLORO E SEUS COMPOSTOS TÓXICOS|01012014||25|6
01.00.10|CROMO E SEUS COMPOSTOS TÓXICOS|01012014||25|6
01.00.11|DISSULFETO DE CARBONO|01012014||25|6
01.00.12|FÓSFORO E SEUS COMPOSTOS|01012014||25|6
01.00.13|IODO|01012014||25|6
01.00.14|MANGANÊS E SEUS COMPOSTOS|01012014||25|6
01.00.15|MERCÚRIO E SEUS COMPOSTOS|01012014||25|6
01.00.16|NÍQUEL E SEUS COMPOSTOS TÓXICOS|01012014||25|6
01.00.17|PETRÓLEO, XISTO BETUMINOSO, GÁS NATURAL E SEUS DERIVADOS|01012014||25|6
01.00.18|SÍLICA LIVRE|01012014||25|6
01.01.19|ESTIRENO|01012014||25|6
01.01.20|BUTADIENO-ESTIRENO|01012014||25|6
01.01.21|ACRILONITRILA|01012014||25|6
01.01.22|1-3 BUTADIENO|01012014||25|6
01.01.23|CLOROPRENO|01012014||25|6
01.01.24|MERCAPTANOS|01012014||25|6
01.01.25|n-HEXANO|01012014||25|6
01.01.26|DIISOCIANATO DE TOLUENO (TDI)|01012014||25|6
01.01.27|AMINAS AROMÁTICAS|01012014||25|6
01.02.28|AMINAS AROMÁTICAS|01012014||25|6
01.02.29|AMINOBIFENILA|01012014||25|6
01.02.30|AURAMINA|01012014||25|6
01.02.31|AZATIOPRINA|01012014||25|6
01.02.32|BIS (CLORO METIL) ÉTER|01012014||25|6
01.02.33|1-4 BUTANODIOL|01012014||25|6
01.02.34|DIMETANOSULFONATO (MILERAN)|01012014||25|6
01.02.35|CICLOFOSFAMIDA|01012014||25|6
01.02.36|CLOROAMBUCIL|01012014||25|6
01.02.37|DIETILESTIL-BESTROL|01012014||25|6
01.02.38|ACRONITRILA|01012014||25|6
01.02.39|NITRONAFTILAMINA 4-DIMETILAMINOAZOBENZENO|01012014||25|6
01.02.40|BENZOPIRENO|01012014||25|6
01.02.41|BETA-PROPIOLACTONA|01012014||25|6
01.02.42|BISCLOROETILETER|01012014||25|6
01.02.43|BISCLOROMETIL|01012014||25|6
01.02.44|CLOROMETILETER|01012014||25|6
01.02.45|DIANIZIDINA|01012014||25|6
01.02.46|DICLOROBENZIDINA|01012014||25|6
01.02.47|DIETILSULFATO|01012014||25|6
01.02.48|DIMETILSULFATO|01012014||25|6
01.02.49|ETILENOAMINA|01012014||25|6
01.02.50|ETILENOTIUREIA|01012014||25|6
01.02.51|FENACETINA|01012014||25|6
01.02.52|IODETO DE METILA|01012014||25|6
01.02.53|ETILNITROSURÉIAS|01012014||25|6
01.02.54|METILENO-ORTOCLOROANILINA (MOCA)|01012014||25|6
01.02.55|NITROSAMINA|01012014||25|6
01.02.56|ORTOTOLUIDINA|01012014||25|6
01.02.57|OXIME-TALONA|01012014||25|6
01.02.58|PROCARBAZINA|01012014||25|6
01.02.59|PROPANOSULTONA|01012014||25|6
01.02.60|1-3-BUTADIENO|01012014||25|6
01.02.61|ÓXIDO DE ETILENO|01012014||25|6
01.02.62|ESTILBENZENO|01012014||25|6
01.02.63|DIISOCIANATO DE TOLUENO (TDI)|01012014||25|6
01.02.64|CREOSOTO|01012014||25|6
01.02.65|4-AMINODIFENIL|01012014||25|6
01.02.66|BENZIDINA|01012014||25|6
01.02.67|BETANAFTILAMINA|01012014||25|6
01.02.68|ESTIRENO|01012014||25|6
01.02.69|1-CLORO-2|01012014||25|6
01.02.70|4 - NITRODIFENIL|01012014||25|6
01.02.71|3-POXIPRO-PANO|01012014||25|6
02.00.00|FATORES DE RISCO FÍSICOS|01012014||25|6
02.00.01|RUÍDO CONTINUO OU INTERMITENTE|01012014||25|6
02.00.02|RUÍDO IMPACTO|01012014||25|6
02.00.03|VIBRAÇÕES LOCALIZADA|01012014||25|6
02.00.04|VIBRAÇÕES CORPO INTEIRO|01012014||25|6
02.00.05|RADIAÇÕES IONIZANTES|01012014||25|6
02.00.07|TEMPERATURAS ANORMAIS - FRIO|01012014||25|6
02.00.08|TEMPERATURAS ANORMAIS - CALOR|01012014||25|6
02.00.09|PRESSÃO ATMOSFÉRICA ANORMAL - HIPERBARISMO|01012014||25|6
02.00.10|PRESSÃO ATMOSFÉRICA ANORMAL - HIPOBARISMO|01012014||25|6
03.00.00|FATORES DE RISCO BIOLÓGICO - MICROORGANISMOS E PARASITAS INFECTOCONTAGIOSOS VIVOS E SUAS TOXINAS|01012014||25|6
03.00.01|Trabalhos em estabelecimentos de saúde em contato com pacientes portadores de doenças infecto-contagiosas ou com manuseio de materiais contaminados;|01012014||25|6
03.00.02|Trabalhos com animais infectados para tratamento ou para o preparo de soro, vacinas e outros produtos;|01012014||25|6
03.00.03|Trabalhos em laboratórios de autópsia, de anatomia e anátomo-histologia;|01012014||25|6
03.00.04|Trabalho de exumação de corpos e manipulação de resíduos de animais deteriorados;|01012014||25|6
03.00.05|Trabalhos em galerias, fossas e tanques de esgoto;|01012014||25|6
03.00.06|Esvaziamento de biodigestores;|01012014||25|6
03.00.07|Coleta e industrialização do lixo.|01012014||25|6
04.00.00|ASSOCIAÇÃO DE FATORES DE RISCO|01012014||25|6
04.00.01|Mineração subterrânea cujas atividades sejam exercidas afastadas das frentes de produção.|01012014||20|9
04.00.03|Trabalhos em atividades permanentes no subsolo de minerações subterrâneas em frente de produção.|01012014||15|12
