CODIGO|LCLASSTRIB|DTINICIO|DTFIM
507|01;02;03;04;06;07;08;09;10;11;13;14;21;22;60;70;85;99|01012014|
515|01;02;03;04;06;07;08;09;10;11;13;14;21;60;70;85;99|01012014|
523|09;10;14;99|01012014|
531|01;02;03;04;06;07;08;10;11;13;14;21;22;60;70;99|01012014|
540|01;02;03;04;06;07;09;10;11;13;14;21;60;70;99|01012014|
558|01;02;03;06;07;09;10;11;13;14;70;99|01012014|
566|01;02;03;04;06;07;09;10;11;13;14;21;99|01012014|
574|01;02;03;04;06;07;09;10;11;13;14;99|01012014|
582|06;07;60;85;99|01012014|
590|01;02;03;06;07;09;10;11;13;14;21;60;70;80;99|01012014|
604|01;02;03;04;06;07;08;10;11;13;14;21;22;99|01012014|
612|01;02;03;04;06;07;09;10;11;13;14;21;85;99|01012014|
620|01;02;03;04;06;07;08;09;10;11;13;14;21;60;70;80;85;99|01012014|
639|80|01012014|
647|11;99|01012014|
655|01;02;03;11;13;70;99|01012014|
680|01;02;03;09|01012014|
736|01;02;03;06;07;10;11;13;14;85;99|01012014|
744|01;02;03;04;06;07;08;09;10;11;13;14;21;22;60;70;80;85;99|01012014|
779|01;02;03;04;06;07;09;10;11;13;14;21;22;60;70;80;85;99|01012014|
787|01;02;03;04;06;07;08;10;11;13;14;21;22;60;99|01012014|
795|01;02;03;06;07;10;11;13;14;99|01012014|
825|01;02;03;06;10;99|01012014|
833|01;02;03;06;10;99|01012014|
868|21;22|01012014|
876|60;99|01012014|
