CODIGO|DESCRICAO|DTINICIO|DTFIM
0001|1,1-dicloro-2,2-bis (P-clorofeniletileno)|01012014|
0002|1,1,1-tricloroetano|01012014|
0003|1,2 dihidroxi-4-(N-acetilcisteinil)-butano|01012014|
0004|1,25-dihidroxi vitamina D|01012014|
0005|1,2-ciclo-hexanediol|01012014|
0006|1,2-dibromo-3-cloropropano|01012014|
0007|1,2-diclorobenzeno|01012014|
0008|1,2-gliceril dinitrato|01012014|
0009|1,3-gliceril dinitrato|01012014|
0010|1,5-diaminonaftaleno|01012014|
1398|11-desoxicorticosterona|01012014|
1399|17-alfa-hidroxiprogesterona|01012014|
0011|17-cetogênicos (17-CGS)|01012014|
0012|17-cetosteroides|01012014|
0013|17-cetosteroides relação alfa/beta|01012014|
0014|17-cetosteroides totais (17-CTS)|01012014|
0015|17-hidroxicorticosteroides (17-OHS)|01012014|
0016|17-hidroxipregnenolona|01012014|
0017|1-etoxi-2-propanol|01012014|
0018|1-hidroxipireno|01012014|
0019|1-metoxi-2-propanol|01012014|
0020|1-naftol + 2-naftol|01012014|
0021|2-amino-4-nitrofenol|01012014|
0022|2,2'-dicloro-4,4'metileno dianilina|01012014|
0023|2,2-dimetil-1,3benzodioxol|01012014|
0024|2,4-dinitroaminotolueno|01012014|
0025|2,4-hidroxibifenil|01012014|
0026|2,5-diclorofenol|01012014|
0027|2,5-heptanediona|01012014|
0028|2,5-hexanediona + 4,5-dihidroxi-2-hexanona|01012014|
0029|2,5-hexanodiona urinária|01012014|
0030|2,6-dinitroaminotolueno|01012014|
0031|2-butanona|01012014|
0032|2-dimetilamino-4-hidroxi-5,6-dimetilpirimidina|01012014|
0033|2-etil, 5-hidroxi-hexil-ftalato|01012014|
0034|2-etil-5-oxi-hexil-ftalato|01012014|
0035|2-etilfenol|01012014|
0036|2-fenil 2-propanol|01012014|
0037|2-isopropoxifenol|01012014|
0038|2-metilamino-4-hidroxi-5,6-dimetilpirimidina|01012014|
0039|2-metilpentano sanguíneo|01012014|
0040|2-naftilamina|01012014|
0041|3,4-diclorocatecol|01012014|
0042|3-alfa androstanediol glucoronídeo (3-ALFADIOL)|01012014|
0043|3-hidroxibenzopireno|01012014|
0044|3-hidroxicarbofurano urinário|01012014|
0045|3-metil histidina|01012014|
0046|3-metil pentano sanguíneo|01012014|
0047|4,4-diaminodiciclohexil metano (DDHM)|01012014|
0049|4,4-diaminodifenilmetano|01012014|
0050|4,4'-metileno bis-2-cloroanilina (MbOCA)|01012014|
0048|4,4'-metilenodianilina (MDA)|01012014|
0051|4,5-diclorocatecol|01012014|
0052|4,6-dinitro-o-cresol (DNOC) sanguíneo|01012014|
0053|4-amino-2,6-dinitrotolueno|01012014|
0054|4-amino-2-nitrofenol|01012014|
0055|4-amino-bifenil|01012014|
0056|4-clorocatecol|01012014|
0057|4-cloro-o-toluidina (derivados)|01012014|
0058|4-etilfenol|01012014|
0059|4-metilpentan-2-ona|01012014|
0060|5,6-dimetil-2-(metilamino)pirimidin-4-ol|01012014|
0061|5-hidroximetil-pirrolidona|01012014|
0062|5-hydroxi-N-metilpirrolidona|01012014|
0063|5-nucleotidase|01012014|
0064|Aberrações cromossômicas (pesquisa)|01012014|
0065|Absidia (pesquisa)|01012014|
0066|Acanthamoeba (pesquisa)|01012014|
0067|Acetaminofen|01012014|
0068|Acetilcolinesterase eritrocitária|01012014|
0069|Acetilcolinesterase plasmática|01012014|
0070|Acetona sanguínea|01012014|
0071|Acetona urinária|01012014|
0072|Acidez titulável na urina|01012014|
0074|Ácido 2,4,5-triclorofenoxiacético (2,4,5-T) urinário|01012014|
0075|Ácido 2,4-diclorofenoxiacético (2,4-D) urinário|01012014|
0073|Ácido 2,4-dinitrobenzoico|01012014|
0076|Ácido 2-hidroxi-3-butenil mercaptúrico|01012014|
0077|Ácido 2-hidroxipropil mercaptúrico|01012014|
0078|Ácido 2-tiotiazolidina|01012014|
0079|Ácido 2-tiotiazolidina-4-carboxílico (TTCA)|01012014|
0080|Ácido 3,4-dihidroxibutil mercaptúrico|01012014|
0081|Ácido 3-fenoxibenzoico|01012014|
0082|Ácido 3-hidroxipropil mercaptúrico|01012014|
0083|Ácido 4-cloro-2-metilfenoxiacético (MCPA) urinário|01012014|
0084|Ácido 4-fluoro-3-fenoxibenzoico|01012014|
0085|Ácido 5 hidróxi-indolacético|01012014|
0086|Ácido acético|01012014|
0087|Ácido ascórbico (vitamina C)|01012014|
0088|Ácido beta hidroxi-butírico|01012014|
0089|Ácido butoxi-acético|01012014|
0090|Ácido cacodílico|01012014|
0091|Ácido cis- 3-(2,2-diclorovinil)-2,2-dimetilciclopropanocarboxilico|01012014|
0092|Ácido cis-3-(2,2-dibromovinil)-2,2-dimetilciclopropanocarboxilico|01012014|
0093|Ácido cítrico na urina|01012014|
0094|Ácido dehidroabiético|01012014|
0095|Ácido delta aminolevulínico (ALA-U)|01012014|
0096|Ácido delta aminolevulínico desidratase (ALA-D)|01012014|
0097|Ácido d-glucárico|01012014|
0098|Ácido dimetilarsínico|01012014|
0099|Ácido dimetilbenzoico|01012014|
0100|Ácido etoxiacético|01012014|
0101|Ácido fenilfosfórico urinário|01012014|
0102|Ácido fenilglioxílico|01012014|
0103|Ácido fenil-mercaptúrico|01012014|
0104|Ácido fólico eritrocitário|01012014|
0105|Ácido fórmico|01012014|
0106|Ácido furoico|01012014|
0107|Ácido glioxílico|01012014|
0108|Ácido hidroxietil-mercaptúrico|01012014|
0109|Ácido hipúrico|01012014|
0110|Ácido homo vanílico|01012014|
0111|Ácido homogentísico urinário|01012014|
0112|Ácido láctico (lactato)|01012014|
0113|Ácido mandélico|01012014|
0114|Ácido mercaptúrico acrilamida|01012014|
0115|Ácido metil malônico|01012014|
0116|Ácido metilhipúrico|01012014|
0117|Ácido metoxiacético (2-metoxiacético)|01012014|
0118|Ácido metoxi-propiônico (ácido isobutírico)|01012014|
0119|Ácido monometilarsônico|01012014|
0120|Ácido orótico|01012014|
0121|Ácido oxálico|01012014|
0122|Ácido perfluorooctanoico|01012014|
0123|Ácido perfluorooctanossulfônico|01012014|
0124|Ácido pirúvico|01012014|
0125|Ácido S-(3-cloro-2-hidroxipropil) mercaptúrico|01012014|
0126|Ácido S(n-Propil)mercaptúrico|01012014|
0127|Ácido salicílico|01012014|
0128|Ácido siálico|01012014|
0129|Ácido tioglicólico|01012014|
0130|Ácido trans, trans-mucônico|01012014|
0131|Ácido trans-3-(2,2-diclorovinil)-2,2-dimetilciclopropanocarboxilico|01012014|
0132|Ácido trans-crisantemum-dicarboxilico|01012014|
0133|Ácido tricloroacético|01012014|
0134|Ácido trifluoroacético|01012014|
0135|Ácido úrico|01012014|
0136|Ácido valproico|01012014|
0137|Ácido vanilmandélico (VMA)|01012014|
0138|Ácido ß-hidroxietoxi acético|01012014|
1400|Ácidos biliares|01012014|
0139|Ácidos graxos livres|01012014|
0140|Ácidos orgânicos (perfil quantitativo)|01012014|
0141|Acilcarnitinas (perfil qualitativo)|01012014|
1401|Acilcarnitinas (perfil quantitativo)|01012014|
0142|Actinobacillus (pesquisa)|01012014|
0143|Actinomadura (pesquisa)|01012014|
