CODIGO|DESCRICAO|DTINICIO|DTFIM
3701|Treinamento antes do primeiro embarque|01012014|15062022
3702|Treinamento antes do primeiro embarque - Reciclagem|01012014|15062022
3703|Treinamento eventual|01012014|15062022
3704|Treinamento básico|01012014|15062022
3705|Treinamento básico - Reciclagem|01012014|15062022
3706|Treinamento avançado|01012014|15062022
3707|Treinamento avançado - Reciclagem|01012014|15062022
3708|Treinamento específico - Empregado integrante da brigada de incêndio|01012014|15062022
3709|Treinamento específico - Riscos radiológicos da plataforma|01012014|15062022
3710|Treinamento específico - Empregado integrante de equipe de resposta a emergências|01012014|15062022
3711|Treinamento - Sinaleiro (reciclagem)|01012014|15062022
3712|Treinamento - Operador de guindaste (reciclagem)|01012014|15062022
3713|Treinamento - Curso Básico para Manipulador de Alimentos|01012014|15062022
3714|Treinamento - Curso complementar para serviços em instalações elétricas em alta tensão|01012014|15062022
3715|Treinamento - Curso básico de segurança em operações de movimentação de cargas e transporte de pessoas|01012014|15062022
3716|Treinamento - Curso complementar para operadores de guindastes|01012014|15062022
3717|Treinamento - Curso para indivíduos ocupacionalmente expostos à radiação ionizante|01012014|15062022
3718|Treinamento - Procedimento operacional - Acendimento da chama piloto|01012014|15062022
1006|Autorização para trabalhar em instalações elétricas|01012014|
1207|Operação e realização de intervenções em máquinas|01012014|
3719|Operador do equipamento de guindar|01012014|15062022
