CODIGO|DESCRICAO|DTINICIO|DTFIM
113851|CP patronal a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
164651|CP GILRAT a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
114151|CP para financiamento de aposentadoria especial a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
113852|CP adicional a cargo das instituiçoes financeiras sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
113854|CP patronal a cargo da empresa sobre a remuneração do segurado contribuinte individual|01012014|
114155|CP para financiamento de aposentadoria especial a cargo da empresa sobre a remuneração do segurado contribuinte individual|01012014|
113855|CP adicional a cargo das instituiçoes financeiras sobre a remuneração do segurado contribuinte individual|01012014|
113858|CP patronal a cargo do empregador doméstico sobre a remuneração do segurado empregado doméstico|01012014|
164659|CP GILRAT a cargo do empregador doméstico sobre a remuneração do segurado empregado doméstico|01012014|
113857|CP patronal a cargo do Microempreendedor - MEI sobre a remuneração do segurado empregado|01012014|
113853|CP patronal a cargo da empresa SIMPLES com atividade concomitante sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
164652|CP GILRAT a cargo da empresa SIMPLES com atividade concomitante sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
114152|CP adicional GILRAT a cargo da empresa SIMPLES com atividade concomitante sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
113856|CP patronal a cargo da empresa SIMPLES com atividade concomitante sobre a remuneração do segurado contribuinte individual|01012014|
117051|Salário-Educação a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
117651|Incra a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
117652|Incra (FPAS 531/795/825) a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
118151|Senai a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
118451|Sesi a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
119151|Senac a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
119651|Sesc a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
120051|Sebrae a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
120052|Sebrae (FPAS 566/574/647) a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
120551|FDEPM a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
120951|Fundo Aeroviário a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
121353|Senar a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
121851|Sest a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
121852|Sest a cargo do trabalhador (descontado pela empresa) sobre a remuneração do segurado transportador autônomo|01012014|
122151|Senat a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
122152|Senat a cargo do trabalhador (descontado pela empresa) sobre a remuneração do segurado transportador autônomo|01012014|
122551|Sescoop a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|01012014|
108251|CP do segurado empregado e trabalhador avulso|01012014|
108252|CP do segurado empregado contratado por curto prazo - Lei 11.718/2009|01012014|
108253|CP do segurado empregado doméstico|01012014|
108254|CP do segurado empregado contratado por curto prazo por empregador segurado especial - Lei 11.718/2009|01012014|
108255|CP do segurado empregado contratado por empregador segurado especial|01012014|
108257|CP do segurado empregado contratado por empregador MEI|01012014|
109951|CP do segurado contribuinte individual - 11%|01012014|
109952|CP do segurado contribuinte individual - 20%|01012014|
830104|PIS - Folha de salários reclamatória trabalhista|01012025|
