CODIGO|DESCRICAO|DTINICIO|DTFIM|CNPJ
001|BANCO DO BRASIL S A|01012014||00000000000191
003|BANCO DA AMAZONIA S.A.|01012014|31072025|04902979000144
004|BANCO DO NORDESTE DO BRASIL SA  BNB|01012014||07237373000120
007|BNB BANCO DO NORDESTE DO BRASIL S A |01012014|31072025|33657248000189
012|BANCO INBURSA SA|01012014||04866275000163
021|BANCO DO ESTADO DO ESPIRITO SANTO|01012014||28127603000178
029|BANCO BANERJ S.A.|01012014|31072025|33885724000119 
033|BANCO SANTANDER|01012014||90400888000142
041|BANCO DO ESTADO DO RIO GRANDE DO SUL SA|01012014||92702067000196
047|BANCO DO ESTADO DE SERGIPE SA|01012014||13009717000146
063|BANCO IBI S.A.|01012014|31072025|04184779000101
069|BPN BRASIL BANCO MÚLTIPLO S.A.|01012014||61033106000186
070|BRB - BANCO DE BRASILIA S.A.|01012014|31072025|00000208000100
074|BANCO J. SAFRA S.A.|01012014|31072025|03017677000120
077|BANCO INTERMEDIUM S/A|01012014|31072025|00416968000101
079|PICPAY BANK|01012014||09516419000175
081|CONCÓRDIA BANCO S.A.|01012014||10264663000177
085|AILOS - COOPERATIVA CENTRAL DE CRÉDITO|01012014||05463212000129
088|RANDON|01102025||11476673000139
099|UNIPRIME|01012014||03046391000173
104|CAIXA ECONOMICA FEDERAL|01012014||00360305000104
105|LECCA|01102025||07652226000116
120|RODOBENS|01012014||33603457000140
121|BANCO AGIBANK SA|01012014||10664513000150
133|CRESOL|01112025||10398952000169
136|UNICRED|01012014||00315557000111
159|CASA DO CREDITO|01012014|31072025|05442029000147
174|PEFISA|01012014|31072025|43180355000112
189|HS Financeira|01012014|31072025|07512441000111
195|VALOR S/A|01012014||07799277000175
208|BTG PACTUAL S.A.|01012014||30306294000145
213|BANCO ARBI S A|01012014||54403563000150
233|BANCO GE CAPITAL S.A.|01012014|31072025|62421979000129
237|BANCO BRADESCO S A|01012014||60746948000112
243|BANCO MASTER S A|01012014|31012026|33923798000100
254|PARANA BANCO S A|01012014||14388334000199
274|BMP MONEY PLUS|01012014|31072025|34337707000100
276|SENFF SA|01012014||11970623000103
280|Will Financeira S.A.|01012014||23862762000100
281|COOPAVEL|01012014||76461557000191
299|Banco Afinz S.A.|01012014|31072025|04814563000174
318|BANCO BMG S A|01012014||61186680000174
321|CREFAZ|01012014|31012026|18188384000183
323|MERCADO PAGO|01102025||37679449000138
324|CARTOS|01122025||21332862000191
328|POUPECREDI|01012014|31012026|05841967000110
329|QI SOCIEDADE DE CREDITO DIRETO S A|01012014||32402502000135
330|BARI S A|01012014||00556603000174
335|BANCO DIGIO|01012014||27098060000145
341|BANCO ITAU SA|01012014||60701190000104
342|CREDITAS|01012014||32997490000139
343|Ffa Sociedade De Crédito Ao Microempreendedor E À Empresa De Pequeno Porte Ltda|01012014|31072025|24537861000171
348|BANCO XP S A|01102025||33264668000286
349|AL5|01012014||27214112000100
358|MIDWAY|01102025||09464032000112
359|ZEMA CFI S A|01012014||05351887000186
368|CARREFOUR|01012014|31072025|08357240000150
373|UP.P|01012014||35977097000171
377|BMS|01122025||17826860000181
379|COOPERFORTE|01012014||01658426000108
380|PICPAY|01012014|31072025|22896431000110
386|NU FINANCEIRA|01012014||30680829000143
389|BANCO MERCANTIL DO BRASIL S A|01012014||17184037000110
393|BANCO VOLKSWAGEN|01112025||59109165000149
394|BANCO FINASA BMC S.A.|01012014|31072025|07207996000150
402|AGIL|01012014||36947229000185
413|BANCO BV S.A,|01012014||01858774000110
418|ZIPDIN - SOLUÇÕES DIGITAIS SOCIED CRED |01012014||37414009000159
422|BANCO SAFRA S A|01012014||58160789000128
425|SOCINAL S.A.|01012014||03881423000156
426|NEON|01012014||11285104000106
427|CRED.UFES|01092025||27302181000167
435|DELBANK|01012014||38224857000168
440|CREDIGENTE |01012014||82096447000170
449|DM SCD|01012014|31072025|37555231000171
451|J17|01122025||40475846000100
452|CREDIFIT - SOCIED CRÉDITO DIRETO SA|01012014||39676772000183
457|UY3|01012014||39587424000130
465|CAPITAL CONSIG|01012014||40083667000110
468|PORTOSEG|01102025||04862600000110
470|CDC SDC|01012014||18394228000179
478|Gazincred|01012014||11760553000169
510|FFCRED|01102025||39738065000174
513|ATF BANK|01102025||44728700000172
516|QISTA |01012014|31012026|36583700000101
520|SOMAPAY|01112025||44705774000193
531|BMP MONEY PLUS|01012014||34337707000100
532|EAGLE|01012014||45745537000119
536|Neon|01012014|31072025|11285104000106
538|SUDACRED|01112025||20251847000156
539|SANTINVEST|01012014||00122327000136
540|HBI SCD|01012014||04849745000180
543|COOPCRECE|01012014||92825397000179
548|EMPRESTA CAPITAL|01012014||06249129000114
555|PAN FINANCEIRA|01012014||02682287000102
572|ALL IN CRED|01112025||51414521000126
585|SETHI|01102025||50946592000107
589|G5 SCD|01092025||51212088000146
598|KONECT|01012014||50626276000158
604|BANCO INDUSTRIAL DO BRASIL S.A.|01012014|31072025|31895683000116
610|BANCO VR|01012014||78626983000163
611|BANCO PAULISTA S A|01012014||61820817000109
623|BANCO PAN S A|01012014||59285411000113
626|BANCO C6 CONSIGNADO S A|01012014||61348538000186
632|Z-ON|01122025||52586293000134
636|GIRO SOCIEDADE DE CRÉDITO DIREITO|01122025||40112555000140
643|BANCO PINE S A|01012014||62144175000120
644|321BANK SOCIEDADE DE CREDITO DIRETO S.A|01012014||54647259000158
654|BANCO RENNER S A|01012014||92874270000140
655|BANCO VOTORANTIM S A|01012014||59588111000103
668|VIA CAPITAL|01012014||48632754000190
676|DUFRIO|01012014||35479592000150
678|FIDEM|01112025||45716916000180
680|Delta Global Bank|01012014|31072025|55823094000190
707|BANCO DAYCOVAL S A|01012014||62232889000190
739|BANCO BGN S.A.|01012014|31072025|00558456000171
741|BRP - BANCO RIBEIRAO PRETO S.A.|01012014||00517645000104
748|BANCO COOPERATIVO SICREDI S A|01012014||01181521000155
752|BANCO BNP PARIBAS BRASIL S.A.|01012014|31072025|01522368000182
753|NOVO BANCO CONTINENTAL S A|01012014||74828799000145
756|BANCO COOPERATIVO SICOOB S.A.|01012014||02038232000164
759|BANSUR|01122025||42963742000162
760|EMCASH|01102025||34139916000149
768|Becker Financeira|01102025||20443996000117
796|COOPLUIZA|01102025||02093154000109
803|COOPASPACER|01092025||02541707000130
804|COOPERATA|01092025||52046299000119
808|Unilever|01102025||53272365000131
812|COOPERFEMSA|01092025||43488782000162
818|MINUANO|01092025||88325113000108
825|COOPERCREDS|01122025||62284385000113
842|Coperura |01102025||17607375000117
843|Cooperáguia|01102025||27171974000194
844|SULCRED|01122025||31746993000179
846|COOPERINFOR|01102025||28435685000118
853|COOPITAU|01112025||43446335000140
856|COOPCREDMAIS|01112025||18140913000179
857|COOPECIC|01122025||19495266000180
858|C.B.A.|01122025||54335401000121
859|COOPSELENE|01102025||72952138000100
863|PROMOCRED|01122025||04478231000166
888|ECT|01012014|31072025|34028316000103
897|Banco VOTORANTIM|01122025||75174953000175
901|Sul Financeira|01012014|31072025|92764489000196
902|Crefisa|01012014|31072025|60779196000196
903|BANCO INTER SA|01012014||00416968000101
905|Alfa|01012014|31072025|17167412000113
908|PARATI CFI S A|01012014||03311443000191
910|SANTINVEST S A |01012014|31072025|00122327000136
917|Socicred|01012014|31072025|05289612000160
921|Crediare|01012014|31072025|05676026000178
925|BRB Credito e Financiamento S A |01012014|31072025|33136888000143
926|Mercantil Financeira Merc do Brasil Fin |01012014|31072025|33040601000187
932|Gazincred|01012014|31072025|11760553000169
934|AGIBANK FINANCEIRA S.A.|01012014|31072025|13660104000174
935|FACTA FINANCEIRA S A|01012014||15581638000130
936|Sicoob Coopernapi|01012014|31072025|16564240000159
954|DIGIO|01012014|31072025|27098060000145
957|Via Certa|01012014|31072025|05192316000146
961|VALOR SCM|01012014|31072025|07799277000175
964|FINANC BECKER|01012014|31072025|20443996000117
965|COOPER JOHNSON|01012014||45691128000187
968|UNIAO SEGURADORA S A VIDA PREVIDENCIA|01012014|31072025|95611141000157
971|PINCRED|01012014|31072025|35274306000110
