CODIGO|NOME|DTINICIO|DTFIM|natRubr|tpRubr|codIncCP|codIncIRRF|codIncFGTS|codIncSIND|repDSR|rep13|repFerias|repResc|repAfast|fatorRubr|LOCALAPLIC|Domestica|SE|Geral|DESCRICAO|NOTA|ordRescDom|PerAdicRub|ordRemDom|repSFDom|PerFolRes|PerEditRub|PerExcRub|FilCatRub|grupRendDom|codIncCPRP|codIncPisPasep|RDConsignado
eSocial1000|Salário|01012014||1000|1|11|11|11|0|S|S|S|S|N||S-1200-M|S|S|S|Valor referente ao salário mensal do empregado, ou dos dias trabalhados no mês em caso de contratação por hora, dia ou semana.|||S|1|S|N|S|S||31|0|0|S
eSocial1010|Salário in natura - pagos em bens ou serviços|01012014||1010|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|N|S|S|Valor do salário in natura, também conhecido por salário utilidade, que correspondente ao valor pago ao trabalhador em bens ou serviços.|||S||S|N|S|S||31|0|0|S
eSocial1020|Comissões, percentagens ou produção|01012014||1207|1|11|11|11|0|S|S|S|S|S||S-1200-M;S-2299|N|N|N|Valor pago ao trabalhador pela contraprestação de serviço, em decorrência de uma produção alcançada, normalmente baseada em um percentual sobre as vendas totais desse trabalhador.|||S||S|N|S|S||31|0|0|S
eSocial1030|Sobreaviso|01012014||1011|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|N|N|N|Valor pago ao empregado, correspondente a um percentual da sua hora normal de trabalho, estipulado em lei ou instrumento coletivo.|||S||S|N|S|S||31|0|0|S
eSocial1040|Adiantamento de salário|01012014||5501|1|0|11|0|0|N|N|N|N|N||S-1200-M|S|N|S|Valor referente ao pagamento de adiantamento/antecipação de salário.|||N||N|N|N|N||31|0|0|N
eSocial1050|Remuneração de faltas justificadas|01012014||1050|1|11|11|11|0|S|S|S|S|S||S-1200-M;S-2299|N|S|S|Remuneração de dias nos quais o trabalhador esteja afastado do trabalho sem prejuízo de sua remuneração|||S||S|N|S|S||31|0|0|S
eSocial1060|Remuneração do dirigente sindical|01012014||1230|1|11|11|11|0|S|S|S|S|S||S-1200-M;S-2299|N|S|S|Remuneração paga ao trabalhador afastado, durante o exercício da atividade sindical|||S||S|N|S|S||31|0|0|S
eSocial1098|Remuneração de autônomo|01012014||1000|1|11|11|0|0|N|N|N|N|N||S-1200-M|N|S|N|Valor referente à remuneração de trabalhador autônomo.|||N||N|N|N|N||0|0|0|S
eSocial1099|Remuneração mensal|01012014||1000|1|11|11|11|0|S|S|S|S|S||S-1200-M|S|S|S|Valor total da remuneração já considerando todos os vencimentos e deduções, exceto 13° salário, utilizado na Folha/Recebimentos e Pagamentos vigente no eSocial até 04/2016.|||N||S|S|S|N||31|0|0|S
eSocial1100|Horas extras|01012014||1003|1|11|11|11|0|S|S|S|S|S||S-1200-M;S-2299|S|S|S|Valor referente às horas trabalhadas além da jornada contratada acrescidas de percentual, nunca inferior a 50%.||13|S|19|S|N|S|S||31|0|0|S
