INFSALCONT|SUPSALCONT|DTINICIO|DTFIM|ALIQ|PARCDED
0,00|1317,07|01012014|31122014|8,00|0,000
1317,08|2195,12|01012014|31122014|9,00|0,000
2195,13|4390,24|01012014|31122014|11,00|0,000
0,00|1399,12|01012015|31122015|8,00|0,000
1399,13|2331,88|01012015|31122015|9,00|0,000
2331,89|4663,75|01012015|31122015|11,00|0,000
0,00|1556,94|01012016|31122016|8,00|0,000
1556,95|2594,92|01012016|31122016|9,00|0,000
2594,93|5189,82|01012016|31122016|11,00|0,000
0,00|1659,38|01012017|31122017|8,00|0,000
1659,39|2765,66|01012017|31122017|9,00|0,000
2765,67|5531,31|01012017|31122017|11,00|0,000
0,00|1693,72|01012018|31122018|8,00|0,000
1693,73|2822,90|01012018|31122018|9,00|0,000
2822,91|5645,80|01012018|31122018|11,00|0,000
0,00|1751,81|01012019|31122019|8,00|0,000
1751,82|2919,72|01012019|31122019|9,00|0,000
2919,73|5839,45|01012019|31122019|11,00|0,000
0,00|1830,29|01012020|29022020|8,00|0,000
1830,30|3050,52|01012020|29022020|9,00|0,000
3050,53|6101,06|01012020|29022020|11,00|0,000
0,00|1045,00|01032020|31122020|7,50|0,000
1045,00|2089,60|01032020|31122020|9,00|15,680
2089,60|3134,40|01032020|31122020|12,00|78,372
3134,40|6101,06|01032020|31122020|14,00|141,066
0,00|1100,00|01012021|31122021|7,50|0,00000
1100,00|2203,48|01012021|31122021|9,00|16,50000
2203,48|3305,22|01012021|31122021|12,00|82,60760
3305,22|6433,57|01012021|31122021|14,00|148,72080
0,00|1212,00|01012022|31122022|7,50|0,00000
1212,00|2427,35|01012022|31122022|9,00|18,18000
2427,35|3641,03|01012022|31122022|12,00|91,00200
3641,03|7087,22|01012022|31122022|14,00|163,82420
0,00|1302,00|01012023|30042023|7,50|0,00000
1302,00|2571,29|01012023|30042023|9,00|19,53000
2571,29|3856,94|01012023|30042023|12,00|96,67480
3856,94|7507,49|01012023|30042023|14,00|173,82160
0,00|1320,00|01052023|31122023|7,50|0,00000
1320,00|2571,29|01052023|31122023|9,00|19,80000
2571,29|3856,94|01052023|31122023|12,00|96,94480
3856,94|7507,49|01052023|31122023|14,00|174,09160
0,00|1412,00|01012024|31122024|7,50|0,00000
1412,00|2666,68|01012024|31122024|9,00|21,18000
2666,68|4000,03|01012024|31122024|12,00|101,18160
4000,03|7786,02|01012024|31122024|14,00|181,18420
0,00|1518,00|01012025|31122025|7,50|0,00000
1518,00|2793,88|01012025|31122025|9,00|22,77000
2793,88|4190,83|01012025|31122025|12,00|106,58640
4190,83|8157,41|01012025|31122025|14,00|190,40300
0,00|1621,00|01012026||7,50|0,00000
1621,00|2902,84|01012026||9,00|24,31500
2902,84|4354,27|01012026||12,00|111,40020
4354,27|8475,55|01012026||14,00|198,48560
