CODIGO|DESCRICAO|DTINICIO|DTFIM|DESCRESUM
A00|Cólera|01012014||A00 Colera
A000|Cólera devida a Vibrio cholerae 01, biótipo cholerae|01012014||A00.0 Colera dev Vibrio cholerae 01 biot cholerae
A001|Cólera devida a Vibrio cholerae 01, biótipo El Tor|01012014||A00.1 Colera dev Vibrio cholerae 01 biot El Tor
A009|Cólera não especificada|01012014||A00.9 Colera NE
A01|Febres tifóide e paratifóide|01012014||A01 Febres tifoide e paratifoide
A010|Febre tifóide|01012014||A01.0 Febre tifoide
A011|Febre paratifóide A|01012014||A01.1 Febre paratifoide A
A012|Febre paratifóide B|01012014||A01.2 Febre paratifoide B
A013|Febre paratifóide C|01012014||A01.3 Febre paratifoide C
A014|Febre paratifóide não especificada|01012014||A01.4 Febre paratifoide NE
A02|Outras infecções por Salmonella|01012014||A02 Outr infecc p/Salmonella
A020|Enterite por salmonela|01012014||A02.0 Enterite p/salmonela
A021|Septicemia por salmonela|01012014||A02.1 Septicemia p/salmonela
A022|Infecções localizadas por salmonela|01012014||A02.2 Infecc localizadas p/salmonela
A028|Outras infecções especificadas por salmonela|01012014||A02.8 Outr infecc espec p/salmonela
A029|Infecção não especificada por salmonela|01012014||A02.9 Infecc NE p/salmonela
A03|Shiguelose|01012014||A03 Shiguelose
A030|Shiguelose devida a Shigella dysenteriae|01012014||A03.0 Shiguelose dev Shigella dysenteriae
A031|Shiguelose devida a Shigella flexneri|01012014||A03.1 Shiguelose dev Shigella flexneri
A032|Shiguelose devida a Shigella boydii|01012014||A03.2 Shiguelose dev Shigella boydii
A033|Shiguelose devida a Shigella sonnei|01012014||A03.3 Shiguelose dev Shigella sonnei
A038|Outras shigueloses|01012014||A03.8 Outr shigueloses
A039|Shiguelose não especificada|01012014||A03.9 Shiguelose NE
A04|Outras infecções intestinais bacterianas|01012014||A04 Outr infecc intestinais bacter
A040|Infecção por Escherichia coli enteropatogênica|01012014||A04.0 Infecc p/Escherichia coli enteropatogenica
A041|Infecção por Escherichia coli enterotoxigênica|01012014||A04.1 Infecc p/Escherichia coli enterotoxigenica
A042|Infecção por Escherichia coli enteroinvasiva|01012014||A04.2 Infecc p/Escherichia coli enteroinvasiva
A043|Infecção por Escherichia coli enterohemorrágica|01012014||A04.3 Infecc p/Escherichia coli enterohemorragica
A044|Outras infecções intestinais por Escherichia coli|01012014||A04.4 Outr infecc intestinais p/Escherichia coli
A045|Enterite por Campylobacter|01012014||A04.5 Enterite p/Campylobacter
A046|Enterite devida a Yersinia enterocolítica|01012014||A04.6 Enterite dev Yersinia enterocolitica
A047|Enterocolite devida a Clostridium difficile|01012014||A04.7 Enterocolite dev Clostridium difficile
A048|Outras infecções bacterianas intestinais especificadas|01012014||A04.8 Outr infecc bacter intestinais espec
A049|Infecção intestinal bacteriana não especificada|01012014||A04.9 Infecc intestinal bacter NE
A05|Outras intoxicações alimentares bacterianas, não classificadas em outra parte|01012014||A05 Outr intox alimentares bacter NCOP
A050|Intoxicação alimentar estafilocócica|01012014||A05.0 Intox alimentar estafilococica
A051|Botulismo|01012014||A05.1 Botulismo
A052|Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii]|01012014||A05.2 Intox alimentar dev Clostridium perfringens
A053|Intoxicação alimentar devida a Vibrio parahemolyticus|01012014||A05.3 Intox alimentar dev Vibrio parahemolyticus
A054|Intoxicação alimentar devida a Bacillus cereus|01012014||A05.4 Intox alimentar dev Bacillus cereus
A058|Outras intoxicações alimentares bacterianas especificadas|01012014||A05.8 Outr intox alimentares bacter espec
A059|Intoxicação alimentar bacteriana não especificada|01012014||A05.9 Intox alimentar bacter NE
A06|Amebíase|01012014||A06 Amebiase
A060|Disenteria amebiana aguda|01012014||A06.0 Disenteria amebiana aguda
A061|Amebíase intestinal crônica|01012014||A06.1 Amebiase intestinal cronica
A062|Colite amebiana não-disentérica|01012014||A06.2 Colite amebiana nao-disenterica
A063|Ameboma intestinal|01012014||A06.3 Ameboma intestinal
A064|Abscesso amebiano do fígado|01012014||A06.4 Abscesso amebiano do figado
A065|Abscesso amebiano do pulmão|01012014||A06.5 Abscesso amebiano do pulmao
A066|Abscesso amebiano do cérebro|01012014||A06.6 Abscesso amebiano do cerebro
A067|Amebíase cutânea|01012014||A06.7 Amebiase cutanea
A068|Infecção amebiana de outras localizações|01012014||A06.8 Infecc amebiana de outr localiz
A069|Amebíase não especificada|01012014||A06.9 Amebiase NE
A07|Outras doenças intestinais por protozoários|01012014||A07 Outr doenc intestinais p/protozoarios
A070|Balantidíase|01012014||A07.0 Balantidiase
A071|Giardíase [lamblíase]|01012014||A07.1 Giardiase
A072|Criptosporidiose|01012014||A07.2 Criptosporidiose
A073|Isosporíase|01012014||A07.3 Isosporiase
A078|Outras doenças intestinais especificadas por protozoários|01012014||A07.8 Outr doenc intestinais espec p/protozoarios
A079|Doença intestinal não especificada por protozoários|01012014||A07.9 Doenc intestinal NE p/protozoarios
A08|Infecções intestinais virais, outras e as não especificadas|01012014||A08 Infecc intestinais virais outr e as NE
A080|Enterite por rotavírus|01012014||A08.0 Enterite p/rotavirus
A081|Gastroenteropatia aguda pelo agente de Norwalk|01012014||A08.1 Gastroenteropatia aguda p/agente de Norwalk
A082|Enterite por adenovírus|01012014||A08.2 Enterite p/adenovirus
A083|Outras enterites virais|01012014||A08.3 Outr enterites virais
A084|Infecção intestinal devida a vírus não especificado|01012014||A08.4 Infecc intestinal dev virus NE
A085|Outras infecções intestinais especificadas|01012014||A08.5 Outr infecc intestinais espec
A09|Diarréia e gastroenterite de origem infecciosa presumível|01012014||A09 Diarreia e gastroenterite orig infecc presum
A15|Tuberculose respiratória, com confirmação bacteriológica e histológica|01012014||A15 Tuberc respirat c/conf bacteriol e histolog
