CODIGO|DESCRICAO|DTINICIO|DTFIM|CODGRUPO|CODCBO|TPTRAB
eSocial-001|Empregado doméstico nos serviços gerais|01012014||512|512105|1
eSocial-002|Empregado doméstico arrumador|01012014||512|512110|1
eSocial-003|Empregado doméstico faxineiro|01012014||512|512115|1
eSocial-004|Babá|01012014||516|516205|1
eSocial-005|Passador de roupas|01012014||516|516415|1
eSocial-006|Lavadeiro, em geral|01012014||516|516305|1
eSocial-007|Caseiro|01012014||512|512105|1
eSocial-008|Governanta de residência|01012014||513|513105|1
eSocial-009|Mordomo de residência|01012014||513|513105|1
eSocial-010|Cozinheiro do serviço doméstico|01012014||513|513210|1
eSocial-011|Cuidador de pessoas idosas e dependentes|01012014||516|516210|1
eSocial-012|Motorista no serviço doméstico|01012014||782|782305|1
eSocial-013|Motorista particular|01012014||782|782305|1
eSocial-014|Preparador físico|01012014||224|224120|1
eSocial-015|Chefe de cozinha|01012014||371|271105|1
eSocial-016|Subchefe de cozinha|01012014||271|271105|1
eSocial-017|Supervisor de cozinha|01012014||271|271105|1
eSocial-018|Dama de companhia|01012014||516|516210|1
eSocial-019|Garçom|01012014||513|513405|1
eSocial-020|Jardineiro|01012014||622|622010|1
eSocial-021|Porteiro|01012014||517|517410|1
eSocial-022|Vigia|01012014||517|517420|1
eSocial-023|Secretário, em geral|01012014||351|351505|1
eSocial-024|Enfermeiro|01012014||223|223505|1
eSocial-025|Atendente de enfermagem no serviço doméstico|01012014||515|515110|1
eSocial-026|Auxiliar de enfermagem|01012014||322|322230|1
eSocial-027|Técnico de enfermagem|01012014||322|322205|1
eSocial-028|Assistente social|01012014||251|251605|1
eSocial-029|Fisioterapeutas|01012014||223|223605|1
eSocial-030|Médicos, em geral|01012014||225|225125|1
eSocial-031|Nutricionistas|01012014||223|223710|1
eSocial-032|Fonoaudiólogos|01012014||223|223810|1
eSocial-033|Psicólogos e psicanalistas|01012014||251|251510|1
eSocial-034|Terapeutas ocupacionais e afins|01012014||223|223905|1
eSocial-035|Professores de educação infantil|01012014||231|231105|1
eSocial-036|Professores de ensino fundamental|01012014||231|231210|1
eSocial-037|Professores do ensino médio|01012014||232|232110|1
eSocial-038|Administradores|01012014||252|252105|1
eSocial-039|Contadores e afins|01012014||252|252210|1
eSocial-040|Economista doméstico|01012014||251|251610|1
eSocial-041|Marinheiro de esporte e recreio|01012014||782|782725|1
eSocial-042|Marinheiro de convés|01012014||782|782705|1
eSocial-043|Moço de convés|01012014||782|782715|1
eSocial-044|Piloto comercial de helicóptero|01012014||341|341110|1
eSocial-045|Piloto de aeronaves|01012014||215|215305|1
eSocial-200|Técnico agrícola|01012014||321|321105|2
eSocial-201|Técnico agropecuário|01012014||321|321110|2
eSocial-202|Técnico em piscicultura|01012014||321|321305|2
eSocial-203|Técnico em carcinicultura|01012014||321|321310|2
eSocial-204|Técnico em mitilicultura|01012014||321|321315|2
eSocial-205|Técnico em ranicultura|01012014||321|321320|2
eSocial-206|Produtor agropecuário, em geral|01012014||611|611005|2
eSocial-207|Produtor agrícola polivalente|01012014||612|612005|2
eSocial-208|Produtor de arroz|01012014||612|612105|2
eSocial-209|Produtor de cana-de-açúcar|01012014||612|612110|2
eSocial-210|Produtor de cereais de inverno|01012014||612|612115|2
eSocial-211|Produtor de gramíneas forrageiras|01012014||612|612120|2
eSocial-212|Produtor de milho e sorgo|01012014||612|612125|2
eSocial-213|Produtor de algodão|01012014||612|612205|2
eSocial-214|Produtor de curauá|01012014||612|612210|2
eSocial-215|Produtor de juta|01012014||612|612215|2
eSocial-216|Produtor de rami|01012014||612|612220|2
eSocial-217|Produtor de sisal|01012014||612|612225|2
eSocial-218|Produtor na olericultura de legumes|01012014||612|612305|2
eSocial-219|Produtor na olericultura de raízes, bulbos e tubérculos|01012014||612|612310|2
eSocial-220|Produtor na olericultura de talos, folhas e flores|01012014||612|612315|2
eSocial-221|Produtor na olericultura de frutos e sementes|01012014||612|612320|2
eSocial-222|Produtor de flores de corte|01012014||612|612405|2
eSocial-223|Produtor de flores em vaso|01012014||612|612410|2
eSocial-224|Produtor de forrações|01012014||612|612415|2
eSocial-225|Produtor de plantas ornamentais|01012014||612|612420|2
eSocial-226|Produtor de árvores frutíferas|01012014||612|612505|2
eSocial-227|Produtor de espécies frutíferas rasteiras|01012014||612|612510|2
eSocial-228|Produtor de espécies frutíferas trepadeiras|01012014||612|612515|2
eSocial-229|Cafeicultor|01012014||612|612605|2
eSocial-230|Produtor de cacau|01012014||612|612610|2
eSocial-231|Produtor de erva-mate|01012014||612|612615|2
eSocial-232|Produtor de fumo|01012014||612|612620|2
