INFBC|SUPBC|DTINICIO|DTFIM|PARCDED
0,00|682,50|01012014|31122014|35,00
682,51|1025,81|01012014|31122014|24,66
0,00|725,02|01012015|31122015|37,18
725,03|1089,72|01012015|31122015|26,20
0,00|806,80|01012016|31122016|41,37
806,81|1212,64|01012016|31122016|29,16
0,00|859,88|01012017|31122017|44,09
859,89|1292,43|01012017|31122017|31,07
0,00|877,67|01012018|31122018|45,00
877,68|1319,18|01012018|31122018|31,71
0,00|907,77|01012019|31102019|46,54
907,78|1364,43|01012019|31102019|32,80
0,00|1364,43|01112019|31122019|46,54
0,00|1425,56|01012020|31122020|48,62
0,00|1503,25|01012021|31122021|51,27
0,00|1655,98|01012022|31122022|56,47
0,00|1754,18|01012023|31122023|59,82
0,00|1819,26|01012024|31122024|62,04
0,00|1906,04|01012025|31122025|65,00
0,00|1980,38|01012026||67,54
