CODIGO|DESCRICAO|DTINICIO|DTFIM|CODESOCIAL
JC2|Despedida por justa causa, pelo empregador|01012014||01
SJ2|Despedida sem justa causa, pelo empregador|01012014||02
RA2|Rescisão antecipada, pelo empregador, do contrato de trabalho por prazo determinado|01012014||03
RA1|Rescisão antecipada, pelo empregado, do contrato de trabalho por prazo determinado|01012014||04
CR0|Rescisão por culpa recí­proca|01012014||05
PD0|Extinção normal do contrato de trabalho por prazo determinado|01012014||06
SJ1|Rescisão contratual a pedido do empregado|01012014||07
SJ1|Rescisão contratual a pedido do empregado|01012014||08
FE1|Rescisão do contrato de trabalho por falecimento do empregador individual por opção do empregado|01012014||09
FT1|Rescisão do contrato de trabalho por falecimento do empregado|01012014||10
FE2|Rescisão do contrato de trabalho por falecimento do empregador individual sem continuação da atividade da empresa|01012014|21012024|14
FE2|Rescisão do contrato de trabalho por encerramento da empresa, de seus estabelecimentos ou supressao de parte de suas atividades|01012014||47
FE2|Rescisão do contrato de trabalho por falecimento do empregador individual sem continuação da atividade|01012014||48
FE2|Rescisão do contrato de trabalho por falecimento do empregador domestico sem continuação da atividade|01012014||49
RI2|Rescisão indireta|01012014||17
FM0|Rescisão por força maior|01012014||27
AC0|Rescisão por acordo entre empregado e empregador|10112017||33
FP0|Rescisão por impossibilidade da continuação da atividade, decorrente de ato de autoridade, lei ou resolução (Factum Principis)|01012014||26
