CODIGO|DESCRICAO|DTINICIO|DTFIM
eSocial3000|<<>> dias|01012014|
eSocial1130|<<>> horas a <<>> %|01012014|
eSocial1131|<<>> horas a <<>> %|01012014|
eSocial1100|<<>> horas a <<>> %|01012014|
eSocial1101|<<>> horas a <<>> %|01012014|
eSocial1102|<<>> horas a <<>> %|01012014|
eSocial1103|<<>> horas a <<>> %|01012014|
eSocial1120|<<>> horas a <<>> %|01012014|
eSocial3020|<<>> / 12 avos|01012014|
eSocial1810|Exerc. <<>> - <<>>/12 avos|01012014|
eSocial3050|<<>> / 12 avos|01012014|
eSocial3060|Per. Aquisitivo dd/mm/aaaa a dd/mm/aaaa|01012014|
eSocial3040|Per. Aquisitivo <<>> a <<>>|01012014|
eSocial3030|<<>> dias|01012014|
eSocial5000|<<>> dias|01012014|
eSocial5060|<<>> dias|01012014|
eSocial5070|<<>> dias|01012014|
