Processo|NumeroInscricao|DtInicio|DtFim
1711010023366011|82643255000560|01012018|
1711010023367011|95828968000117|01012018|
1711010023368011|01911426000160|01012018|
1711010023369011|09258807000284|01012018|
1711010023370011|87788931000184|01012018|
1711010023372011|67562884000149|01012018|
1711010023373011|94354271000199|01012018|
1711010023374011|31199466000191|01012018|
1711010023375011|02433691000142|01012018|
1711010023376011|84433945000278|01012018|
1711010023365021|03018339000103|01012018|
1711010023377011|08723856000105|01012018|
1711010023378011|05140162000149|01012018|
1711010023379011|73289050000104|01012018|
1711010023380011|00183110000136|01012018|
1711010023381011|10852802000264|01012018|
1711010023382011|04878284000174|01012018|
1711010023383011|03968404000161|01012018|
1711010023384011|02308873000868|01012018|
1711010023385011|57077026000155|01012018|
1711010023386011|96832076000152|01012018|
1711010023387011|35029057000106|01012018|
1711010023388011|61130191000109|01012018|
1711010023389011|59280685000110|01012018|
1711010023390011|83883306001566|01012018|
1711010023391021|34274233006569|01012018|
1711010023392011|77934313002608|01012018|
1711010023393011|34274233036042|01012018|
1711010023394011|46009718000140|01012018|
1711010023397011|34274233005910|01012018|
1711010023398011|09427205000122|01012018|
1711010023399011|75109074000160|01012018|
1711010023402011|83108712001551|01012018|
1711010023404011|83108712002604|01012018|
1711010023405011|84429737000386|01012018|
1711010023406011|00348003004299|01012018|
1711010023408011|86186509000196|01012018|
1711010023409011|07731248000171|01012018|
1711010023410011|03798336000482|01012018|
1711010023411011|07731253000184|01012018|
1711010023413011|05831339000153|01012018|
1711010023414011|62465117000106|01012018|
1711010023416011|43728245000142|01012018|
1711010023418011|43300581000190|01012018|
1711020023419011|82740903000335|01012018|
1711020023420011|85307098000187|01012018|
1711010023371031|05268526000766|01012018|
1711010023421021|06553614000187|01012018|
1711030023422011|07681924000140|01012018|
1711030023423011|07450778000141|01012018|
1711010023424011|71385637000353|01012018|
1711010023425011|71385637000434|01012018|
1711030023426011|47254545000198|01012018|
1711010023427011|71385637000515|01012018|
1711010023428011|71385637000787|01012018|
1711010023429011|71385637000272|01012018|
1711030023430011|67629253000108|01012018|
1711010023431011|07718633000260|01012018|
1711010023432011|07718633000189|01012018|
1711030023433011|07718633000340|01012018|
1711030023434011|07718633000421|01012018|
1711030023435011|07718633000502|01012018|
1711030023436011|77858611001414|01012018|
1711030023437011|07718633000693|01012018|
1711030023438011|07718633000774|01012018|
1711030023439011|17034086000176|01012018|
1711030023440011|07718633000855|01012018|
1711030023441011|15568217000250|01012018|
1711030023442021|07718633001070|01012018|
1711030023443021|07718633001150|01012018|
1711030023444011|12601233000129|01012018|
1711030023445011|07718633001312|01012018|
1711030023446011|62539994000419|01012018|
1711030023447011|07718633001401|01012018|
1711030023448011|48172464000292|01012018|
1711030023449011|02076111000107|01012018|
1711030023450011|07718633001584|01012018|
1711030023451011|88628805000125|01012018|
1711030023452011|02395462000180|01012018|
1711030023454011|78811395000108|01012018|
1711030023455011|61620753001247|01012018|
1711030023456011|04385585000166|01012018|
1711030023457011|58130782000244|01012018|
1711030023453021|52059268000526|01012018|
1711030023459011|07718633001665|01012018|
1711060023460011|07718633001746|01012018|
1711060023461011|07718633001827|01012018|
1711060023462021|07718633002122|01012018|
1711060023463011|07718633002203|01012018|
1711060023464011|07718633002556|01012018|
1711060023466011|33438250001139|01012018|
1711060023467011|10265949000177|01012018|
1711060023465031|07718633002718|01012018|
1711060023468011|07718633002807|01012018|
1711060023469011|07718633002980|01012018|
1711060023470011|33438250001309|01012018|
1711060023471011|33438250002453|01012018|
1711060023472011|07718633003013|01012018|
1711060023473011|11592963000148|01012018|
1711060023474011|33438250003344|01012018|
1711060023475011|83647552000113|01012018|
1711060023476011|07718633003102|01012018|
1711060023477011|33438250009202|01012018|
1711060023478011|07718633003285|01012018|
1711060023479011|33438250014389|01012018|
1711060023480011|33438250016160|01012018|
1711060023481011|07718633003366|01012018|
1711060023482011|33438250017132|01012018|
1711060023483011|33438250017485|01012018|
1711060023484011|07718633003447|01012018|
1711030023485011|05266880000166|01012018|
1711060023486011|33438250024856|01012018|
1711060023487011|33438250027367|01012018|
1711060023488011|33438250028096|01012018|
1711060023489011|07718633003609|01012018|
1711060023490011|33438250028681|01012018|
1711060023491011|07718633003790|01012018|
1711060023492011|07718633003951|01012018|
1711060023493011|07718633004095|01012018|
1711060023494011|93561215000162|01012018|
1711060023495011|07718633004176|01012018|
1711060023496011|33438250033928|01012018|
1711060023497011|07718633004338|01012018|
1711060023498011|33438250034495|01012018|
1711060023499011|58126020000193|01012018|
1711060023500011|33438250036439|01012018|
1711060023501011|07718633004419|01012018|
1711060023502011|33438250047120|01012018|
1711060023503011|33438250049417|01012018|
1711060023504011|07718633004508|01012018|
1711010023505011|03763491000200|01012018|
1711060023506011|07718633004761|01012018|
1711060023507011|07718633004923|01012018|
1711060023508011|07718633005229|01012018|
1711060023509011|07718633005300|01012018|
1711060023510021|07718633005571|01012018|
1711060023511011|07718633005652|01012018|
1711060023512011|52717659000752|01012018|
1711060023513011|07718633005733|01012018|
1711060023514011|07718633005814|01012018|
1711060023516011|07718633005903|01012018|
1711060023517011|61412110001208|01012018|
1711060023518011|61412110006439|01012018|
1711060023519011|61412110009535|01012018|
1711060023520011|61412110011270|01012018|
1711060023522011|61412110013800|01012018|
1711060023523011|61412110017392|01012018|
1711060023524011|61412110017473|01012018|
1711060023521021|07718633006039|01012018|
1711060023525011|61412110019689|01012018|
1711060023526011|61412110020008|01012018|
1711060023527011|61412110025069|01012018|
1711060023528011|61412110027940|01012018|
1711060023529011|61412110029560|01012018|
1711060023530011|61412110029641|01012018|
1711060023515021|52717659000590|01012018|
1711010023531011|96754734001964|01012018|
1711060023532011|61412110032782|01012018|
1711060023533011|05169759000116|01012018|
1711010023534011|07924408000107|01012018|
1711060023535011|75170191000139|01012018|
1711060023536011|61412110041501|01012018|
1711060023537011|61412110046902|01012018|
1711060023538011|61412110047038|01012018|
1711060023539011|61412110048190|01012018|
1711060023540011|61412110057505|01012018|
1711060023541011|61412110065877|01012018|
1711060023542011|08419273000500|01012018|
1711060023543011|04043327000100|01012018|
1711060023544011|04872297000136|01012018|
1711060023545011|59107300000389|01012018|
1711060023546011|47180625002009|01012018|
1711060023547011|47180625002190|01012018|
1711010023548011|06127582000662|01012018|
1711060023549011|00933353000144|01012018|
1711010023550011|84812908000190|01012018|
1711060023551011|01226768000140|01012018|
1711060023552011|08419673000192|01012018|
1711060023553011|10407005000197|01012018|
1711060023554011|41037250000183|01012018|
1711070023555021|61412110052384|01012018|
1711010023556011|88674080000101|01012018|
1711070023557011|64700735000291|01012018|
1711070023558011|47881602000169|01012018|
1711070023559011|92190503000195|01012018|
1711070023561011|59280685000209|01012018|
1711070023562021|05677591000311|01012018|
