Codigo|Descrição|dtinicio|dtfim
047301|Renda e Proventos de Qualquer Natureza|01012014|
056107|IRRF - Rendimento do Trabalho Assalariado no País/Ausente no Exterior a Serviço do País|01012014|
056108|IRRF - Empregado Doméstico|01012014|
056109|IRRF - Empregado Doméstico - 13º Sal Rescisão|01012014|
056110|IRRF - Empregado doméstico - 13º salário|01012014|
056111|IRRF - Empregado/Trabalhador Rural - Segurado Especial|01012014|
056112|IRRF - Empregado/Trabalhador Rural - Segurado Especial 13° salário|01012014|
056113|IRRF - Empregado/Trabalhador Rural - Segurado Especial 13° salário rescisório|01012014|
058806|IRRF - Rendimento do trabalho sem vínculo empregatício|01012014|
061001|IRRF - Rendimentos relativos a prestação de serviços de transporte rodoviário internacional de carga, pagos a transportador autônomo PF residente no Paraguai|01012014|
108201|Contribuição Previdenciária - CP descontada do segurado empregado/avulso|01012014|
108202|CP descontada do segurado empregado rural curto prazo - Lei 11.718/2008|01012014|
108203|CP descontada do segurado empregado doméstico|01012014|
108204|CP descontada do segurado especial curto prazo - Lei 11.718/2008|01012014|
108205|CP descontada do segurado empregado do segurado especial|01012014|
108207|CP descontada do segurado empregado do MEI|01012014|
108221|CP descontada do segurado empregado/avulso 13° salário|01012014|
108222|CP descontada do segurado empregado rural curto prazo 13° salário - Lei 11.718/2008|01012014|
108223|CP descontada do segurado empregado doméstico 13° salário|01012014|
108224|CP descontada do segurado especial curto prazo 13° salário - Lei 11.718/2008|01012014|
108225|CP descontada do segurado empregado do segurado especial 13° salário|01012014|
109901|CP descontada do contribuinte individual, alíquota de 11%|01012014|
109902|CP descontada do contribuinte individual, alíquota de 20%|01012014|
121802|Contribuição ao SEST, descontada do transportador autônomo|01012014|
122102|Contribuição ao SENAT, descontada do transportador autônomo|01012014|
328006|IRRF - Serviços Prestados por associados de cooperativas de trabalho|01012014|
3533|Proventos de Aposentadoria, Reserva, Reforma ou Pensão Pagos por Previdência Pública|01012014|
356201|IRRF - Participação dos trabalhadores em Lucros ou Resultados (PLR)|01012014|
109921|CP descontada do contribuinte individual 13° salário, alíquota de 11%|01012014|
109922|CP descontada do contribuinte individual 13° salário, alíquota de 20%|01012014|
830102|PIS/PASEP sobre a folha de salários|01012014|
830122|PIS/PASEP sobre a folha de salários - 13º salário|01012014|
