Código|Descrição|dtinicio|dtfim
00|Rendimento não tributável|01012014|
01|Rendimento não tributável em função de acordos internacionais de bitributação|01012014|
09|Outras verbas não consideradas como base de cálculo ou rendimento|01012014|
11|Rendimento tributável - Remuneração mensal|01012014|
12|Rendimento tributável - 13º salário|01012014|
13|Rendimento tributável - Férias|01012014|
14|Rendimento tributável - PLR|01012014|
15|Rendimento tributável - Rendimentos Recebidos Acumuladamente - RRA|01012014|
31|Retenção - Remuneração mensal|01012014|
32|Retenção - 13º salário|01012014|
33|Retenção - Férias|01012014|
34|Retenção - PLR|01012014|
35|Retenção - RRA|01012014|
41|Dedução da base de cálculo - Previdência Social Oficial - PSO - Remuneração mensal|01012014|
42|Dedução da base de cálculo - PSO - 13º salário|01012014|
43|Dedução da base de cálculo - PSO - Férias|01012014|
44|Dedução da base de cálculo - PSO - RRA|01012014|
46|Dedução da base de cálculo - Previdência privada - Salário mensal|01012014|
47|Dedução da base de cálculo - Previdência privada - 13º salário|01012014|
51|Dedução da base de cálculo - Pensão alimentícia - Remuneração mensal|01012014|
52|Dedução da base de cálculo - Pensão alimentícia - 13º salário|01012014|
53|Dedução da base de cálculo - Pensão alimentícia - Férias|01012014|
54|Dedução da base de cálculo - Pensão alimentícia - PLR|01012014|
55|Dedução da base de cálculo - Pensão alimentícia - RRA|01012014|
61|Dedução da base de cálculo - Fundo de Aposentadoria Programada Individual - FAPI - Remuneração mensal|01012014|
62|Dedução da base de cálculo - Fundo de Aposentadoria Programada Individual - FAPI - 13º salário|01012014|
63|Dedução da base de cálculo - Fundação de previdência complementar do servidor público - Remuneração mensal|01012014|
64|Dedução da base de cálculo - Fundação de previdência complementar do servidor público - 13º salário|01012014|
67|Dedução da base de cálculo - Plano privado coletivo de assistência à saúde|01012014|
70|Parcela isenta 65 anos - Remuneração mensal|01012014|
71|Parcela isenta 65 anos - 13º salário|01012014|
72|Isenção - Diárias|01012014|
73|Isenção - Ajuda de custo|01012014|
74|Isenção - Indenização e rescisão de contrato, inclusive a título de PDV e acidentes de trabalho|01012014|
75|Isenção - Abono pecuniário|01012014|
