CodCNAEMEI|Descricao|DtInicio|DtTermino|CodCNAE
0121101|Horticultura, exceto morango|01072016||0121101
0159801|Apicultura|01072016||0159801
0159802|Criação de animais de estimação|01072016||0159802
0161001|Serviço de pulverização e controle de pragas agrícolas|01072016||0161001
0161002|Serviço de poda de árvores para lavouras|01072016||0161002
0161003|Serviço de preparação de terreno, cultivo e colheita|01072016||0161003
0162802|Serviço de tosquiamento de ovinos|01072016||0162802
0321304|Criação de peixes ornamentais em água salgada e salobra|01072016||0321304
0322104|Criação de peixes ornamentais em água doce|01072016||0322104
0892401|Extração de sal marinho|01072016||0892401
1012101|Abate de aves|01072016||1012101
1013901|Fabricação de produtos de carne|01072016||1013901
1031700|Fabricação de conservas de frutas|01072016||1031700
1032599|Fabricação de conservas de legumes e outros vegetais, exceto palmito|01072016||1032599
1033301|Fabricação de sucos concentrados de frutas, hortaliças e legumes|01072016||1033301
1033302|Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados|01072016||1033302
1052000|Fabricação de laticínios|01072016||1052000
1061902|Fabricação de produtos do arroz|01072016||1061902
1063500|Fabricação de farinha de mandioca e derivados|01072016||1063500
1064300|Fabricação de farinha de milho e derivados, exceto óleos de milho|01072016||1064300
1065101|Fabricação de amidos e féculas de vegetais|01072016||1065101
1069400|Moagem e fabricação de produtos de origem vegetal não especificados anteriormente|01072016||1069400
1071600|Fabricação de açúcar em bruto|01072016||1071600
1091101|Fabricação de produtos de panificação industrial|01072016||1091101
1091102|Fabricação de produtos de padaria e confeitaria com predominância de produção própria|01072016||1091102
1092900|Fabricação de biscoitos e bolachas|01072016||1092900
1093701|Fabricação de produtos derivados do cacau e de chocolates|01072016||1093701
1093702|Fabricação de frutas cristalizadas, balas e semelhantes|01072016||1093702
1094500|Fabricação de massas alimentícias|01072016||1094500
1095300|Fabricação de especiarias, molhos, temperos e condimentos|01072016||1095300
1096100|Fabricação de alimentos e pratos prontos|01072016||1096100
1099601|Fabricação de vinagres|01072016||1099601
1099604|Fabricação de gelo comum|01072016||1099604
1099605|Fabricação de produtos para infusão (chá, mate, etc.)|01072016||1099605
1099699|Fabricação de outros produtos alimentícios não especificados anteriormente|01072016||1099699
1122403|Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas|01072016||1122403
1122499|Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente|01072016||1122499
1220499|Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos|01072016||1220499
1311100|Preparação e fiação de fibras de algodão|01072016||1311100
1312000|Preparação e fiação de fibras têxteis naturais, exceto algodão|01072016||1312000
1321900|Tecelagem de fios de algodão|01072016||1321900
1322700|Tecelagem de fios de fibras têxteis naturais, exceto algodão|01072016||1322700
1340501|Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário|01072016||1340501
1340599|Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário|01072016||1340599
1351100|Fabricação de artefatos têxteis para uso doméstico|01072016||1351100
1352900|Fabricação de artefatos de tapeçaria|01072016||1352900
1353700|Fabricação de artefatos de cordoaria|01072016||1353700
1359600|Fabricação de outros produtos têxteis não especificados anteriormente|01072016||1359600
1411801|Confecção de roupas íntimas|01072016||1411801
1411802|Facção de roupas íntimas|01072016||1411802
1412601|Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida|01072016||1412601
1412602|Confecção, sob medida, de peças do vestuário, exceto roupas íntimas|01072016||1412602
1412603|Facção de peças do vestuário, exceto roupas íntimas|01072016||1412603
1413403|Facção de roupas profissionais|01072016||1413403
1414200|Fabricação de acessórios do vestuário, exceto para segurança e proteção|01072016||1414200
1421500|Fabricação de meias|01072016||1421500
1422300|Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias|01072016||1422300
1510600|Curtimento e outras preparações de couro|01072016||1510600
1521100|Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material|01072016||1521100
1529700|Fabricação de artefatos de couro não especificados anteriormente|01072016||1529700
1531901|Fabricação de calçados de couro|01072016||1531901
1531902|Acabamento de calçados de couro sob contrato|01072016||1531902
1539400|Fabricação de calçados de materiais não especificados anteriormente|01072016||1539400
1540800|Fabricação de partes para calçados, de qualquer material|01072016||1540800
1622699|Fabricação de outros artigos de carpintaria para construção|01072016||1622699
1623400|Fabricação de artefatos de tanoaria e de embalagens de madeira|01072016||1623400
1629301|Fabricação de artefatos diversos de madeira, exceto móveis|01072016||1629301
1629302|Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis|01072016||1629302
1721400|Fabricação de papel|01072016||1721400
1731100|Fabricação de embalagens de papel|01072016||1731100
1732000|Fabricação de embalagens de cartolina e papel-cartão|01072016||1732000
1742701|Fabricação de fraldas descartáveis|01072016||1742701
1742702|Fabricação de absorventes higiênicos|01072016||1742702
1742799|Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente|01072016||1742799
1749400|Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente|01072016||1749400
1813001|Impressão de material para uso publicitário|01072016||1813001
1813099|Impressão de material para outros usos|01072016||1813099
1821100|Serviços de pré-impressão|01072016||1821100
1822901|Serviços de encadernação e plastificação|01072016||1822901
2052500|Fabricação de desinfestantes domissanitários|01072016||2052500
2061400|Fabricação de sabões e detergentes sintéticos|01072016||2061400
2062200|Fabricação de produtos de limpeza e polimento|01072016||2062200
2063100|Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal|01072016||2063100
2092402|Fabricação de artigos pirotécnicos|01072016||2092402
2219600|Fabricação de artefatos de borracha não especificados anteriormente|01072016||2219600
2229399|Fabricação de artefatos de material plástico para outros usos não especificados anteriormente|01072016||2229399
2319200|Fabricação de artigos de vidro|01072016||2319200
2330399|Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes|01072016||2330399
2342702|Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos|01072016||2342702
