Código|Descrição|dtinicio|dtfim
11|FGTS mensal|01012014|
12|FGTS 13° salário|01012014|
13|FGTS (período anterior) mensal|01012014|
14|FGTS (período anterior) 13º salário|01012014|
15|FGTS mensal - Aprendiz/Contrato Verde e Amarelo|01012014|
16|FGTS 13° salário - Aprendiz/Contrato Verde e Amarelo|01012014|
17|FGTS (período anterior) mensal - Aprendiz/Contrato Verde e Amarelo|01012014|
18|FGTS (período anterior) 13º salário - Aprendiz/Contrato Verde e Amarelo|01012014|
21|FGTS mês da rescisão|01012014|
22|FGTS 13° salário rescisório|01012014|
23|FGTS aviso prévio indenizado|01012014|
24|FGTS (período anterior) mês da rescisão|01012014|
25|FGTS (período anterior) 13º salário rescisório|01012014|
26|FGTS (período anterior) aviso prévio indenizado|01012014|
27|FGTS mês da rescisão - Aprendiz/Contrato Verde e Amarelo|01012014|
28|FGTS 13° salário rescisório - Aprendiz/Contrato Verde e Amarelo|01012014|
29|FGTS aviso prévio indenizado - Aprendiz/Contrato Verde e Amarelo|01012014|
30|FGTS (período anterior) mês da rescisão - Aprendiz/Contrato Verde e Amarelo|01012014|
31|FGTS (período anterior) 13° salário rescisório - Aprendiz/Contrato Verde e Amarelo|01012014|
32|FGTS (período anterior) aviso prévio indenizado - Aprendiz/Contrato Verde e Amarelo|01012014|
41|FGTS mensal - Indenização compensatória do empregado doméstico|01012014|
42|FGTS 13° salário - Indenização compensatória do empregado doméstico|01012014|
43|FGTS (período anterior) mensal - Indenização compensatória do empregado doméstico|01012014|
44|FGTS (período anterior) 13º salário - Indenização compensatória do empregado doméstico|01012014|
45|FGTS mês da rescisão - Indenização compensatória do empregado doméstico|01012014|
46|FGTS 13° salário rescisório - Indenização compensatória do empregado doméstico|01012014|
47|FGTS aviso prévio indenizado - Indenização compensatória do empregado doméstico|01012014|
48|FGTS (período anterior) mês da rescisão - Indenização compensatória do empregado doméstico|01012014|
49|FGTS (período anterior) 13º salário rescisório - Indenização compensatória do empregado doméstico|01012014|
50|FGTS (período anterior) aviso prévio indenizado - Indenização compensatória do empregado doméstico|01012014|
91|Incidência suspensa em decorrência de decisão judicial|01012014|
