Código|Descrição|dtinicio|dtfim
51|Depósito do FGTS|01012014|
52|Depósito do FGTS 13° Salário|01012014|
53|Depósito do FGTS (período anterior)|01012014|
54|Depósito do FGTS (período anterior) 13º Salário|01012014|
55|Depósito do FGTS - Aprendiz/Contrato Verde e Amarelo|01012014|
56|Depósito do FGTS 13° Salário - Aprendiz/Contrato Verde e Amarelo|01012014|
57|Depósito do FGTS (período anterior) - Aprendiz/Contrato Verde e Amarelo|01012014|
58|Depósito do FGTS (período anterior) 13º Salário - Aprendiz/Contrato Verde e Amarelo|01012014|
61|Depósito do FGTS Rescisório|01012014|
62|Depósito do FGTS Rescisório 13° Salário|01012014|
63|Depósito do FGTS Rescisório Aviso Prévio|01012014|
64|Depósito do FGTS Rescisório (período anterior)|01012014|
65|Depósito do FGTS Rescisório (período anterior) 13º Salário|01012014|
66|Depósito do FGTS Rescisório (período anterior) Aviso Prévio|01012014|
67|Depósito do FGTS Rescisório - Aprendiz/Contrato Verde e Amarelo|01012014|
68|Depósito do FGTS Rescisório 13° Salário - Aprendiz/Contrato Verde e Amarelo|01012014|
69|Depósito do FGTS Rescisório Aviso Prévio - Aprendiz/Contrato Verde e Amarelo|01012014|
70|Depósito do FGTS Rescisório (período anterior) - Aprendiz/Contrato Verde e Amarelo|01012014|
71|Depósito do FGTS Rescisório (período anterior) 13° Salário - Aprendiz/Contrato Verde e Amarelo|01012014|
72|Depósito do FGTS Rescisório (período anterior) Aviso Prévio - Aprendiz/Contrato Verde e Amarelo|01012014|
73|Depósito do FGTS - Antecipação da multa rescisória do FGTS|01012020|
74|Depósito do FGTS 13° Salário - Antecipação da multa rescisória do FGTS|01012020|
75|Depósito do FGTS (período anterior) - Antecipação da multa rescisória do FGTS|01012020|
76|Depósito do FGTS (período anterior) 13º Salário - Antecipação da multa rescisória do FGTS|01012020|
77|Depósito do FGTS Rescisório - Antecipação da multa rescisória do FGTS|01012020|
78|Depósito do FGTS Rescisório 13° Salário - Antecipação da multa rescisória do FGTS|01012020|
79|Depósito do FGTS Rescisório Aviso Prévio - Antecipação da multa rescisória do FGTS|01012020|
80|Depósito do FGTS Rescisório (período anterior) - Antecipação da multa rescisória do FGTS|01012020|
81|Depósito do FGTS Rescisório (período anterior) 13º Salário - Antecipação da multa rescisória do FGTS|01012020|
82|Depósito do FGTS Rescisório (período anterior) Aviso Prévio - Antecipação da multa rescisória do FGTS|01012020|
