CODIGO|DESCRICAO|DTINICIO|DTFIM
01012018|Confraternização Universal|01012018|
12022018|Carnaval|01012018|
13022018|Carnaval|01012018|
30032018|Sexta-feira da Paixão|01012018|
21042018|Tiradentes|01012018|
01052018|Dia Mundial do Trabalho|01012018|
31052018|Corpus Christi|01012018|
07092018|Independência do Brasil|01012018|
12102018|Nossa Senhora Aparecida|01012018|
02112018|Finados|01012018|
15112018|Proclamação da República|01012018|
25122018|Natal|01012018|
01012019|Confraternização Universal|01012018|
04032019|Carnaval|01012018|
05032019|Carnaval|01012018|
19042019|Sexta-feira da Paixão|01012018|
21042019|Tiradentes|01012018|
01052019|Dia Mundial do Trabalho|01012018|
20062019|Corpus Christi|01012018|
07092019|Independência do Brasil|01012018|
12102019|Nossa Senhora Aparecida|01012018|
02112019|Finados|01012018|
15112019|Proclamação da República|01012018|
25122019|Natal|01012018|
01012020|Confraternização Universal|01012018|
24022020|Carnaval|01012018|
25022020|Carnaval|01012018|
10042020|Sexta-feira da Paixão|01012018|
21042020|Tiradentes|01012018|
01052020|Dia Mundial do Trabalho|01012018|
11062020|Corpus Christi|01012018|
07092020|Independência do Brasil|01012018|
12102020|Nossa Senhora Aparecida|01012018|
02112020|Finados|01012018|
15112020|Proclamação da República|01012018|
25122020|Natal|01012018|
01012021|Confraternização Universal|01012018|
15022021|Carnaval|01012018|
16022021|Carnaval|01012018|
02042021|Sexta-feira da Paixão|01012018|
21042021|Tiradentes|01012018|
01052021|Dia Mundial do Trabalho|01012018|
03062021|Corpus Christi|01012018|
07092021|Independência do Brasil|01012018|
12102021|Nossa Senhora Aparecida|01012018|
02112021|Finados|01012018|
15112021|Proclamação da República|01012018|
25122021|Natal|01012018|
01012022|Confraternização Universal|01012018|
28022022|Carnaval|01012018|
01032022|Carnaval|01012018|
15042022|Sexta-feira da Paixão|01012018|
21042022|Tiradentes|01012018|
01052022|Dia Mundial do Trabalho|01012018|
16062022|Corpus Christi|01012018|
07092022|Independência do Brasil|01012018|
12102022|Nossa Senhora Aparecida|01012018|
02112022|Finados|01012018|
15112022|Proclamação da República|01012018|
25122022|Natal|01012018|
01012023|Confraternização Universal|01012018|
20022023|Carnaval|01012018|
21022023|Carnaval|01012018|
07042023|Sexta-feira da Paixão|01012018|
21042023|Tiradentes|01012018|
01052023|Dia Mundial do Trabalho|01012018|
08062023|Corpus Christi|01012018|
07092023|Independência do Brasil|01012018|
12102023|Nossa Senhora Aparecida|01012018|
02112023|Finados|01012018|
15112023|Proclamação da República|01012018|
25122023|Natal|01012018|
01012024|Confraternização Universal|01012018|
12022024|Carnaval|01012018|
13022024|Carnaval|01012018|
29032024|Sexta-feira da Paixão|01012018|
21042024|Tiradentes|01012018|
01052024|Dia Mundial do Trabalho|01012018|
30052024|Corpus Christi|01012018|
07092024|Independência do Brasil|01012018|
12102024|Nossa Senhora Aparecida|01012018|
02112024|Finados|01012018|
15112024|Proclamação da República|01012018|
20112024|Dia Nacional de Zumbi e da Consciência Negra|01012018|
25122024|Natal|01012018|
01012025|Confraternização Universal|01012018|
03032025|Carnaval|01012018|
